Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
0,2447240.15683,23.55,46.39,1.572,2447240.12861,2447240.19211,91.43333,10.46711,276.49284,-10.13486,274.14001,0.00245,0.99357,20.73444,20.60197,-2.35283,0.03238,58.86292,1.03871,1.04194,1.46566,1.46732,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
1,2447269.16535,19.52,42.22,1.165,2447269.14552,2447269.19013,64.23333,7.04371,288.06645,-7.3871,284.16949,0.0025,1.0017,14.94504,14.43081,-3.89696,0.01691,58.27765,0.53709,0.5382,0.57941,0.58004,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
2,2447269.15558,23.56,46.93,1.156,2447269.13498,2447269.18134,66.76667,7.10519,287.90815,-7.44175,285.15069,0.0025,1.0017,14.8046,14.54694,-2.75747,0.0166,58.27692,0.52709,0.52819,0.5854,0.58602,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
3,2447594.16783,28.4,36.73,0.905,2447594.15096,2447594.18892,54.66667,5.81152,269.14052,-6.16284,267.95288,0.00239,0.99051,12.0329,11.97436,-1.18764,0.01099,60.99227,0.36512,0.36577,0.23531,0.23569,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
4,2447949.16993,28.4,36.73,1.299,2447949.14649,2447949.19924,75.95,8.31992,266.12946,-8.19086,264.55749,0.00246,0.98793,16.58492,16.51078,-1.57197,0.0208,59.04802,0.66928,0.67095,0.8608,0.86171,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
5,2447978.17444,26.45,36.38,0.849,2447978.15896,2447978.19378,50.15,5.2795,279.73689,-5.80376,275.90544,0.00241,0.99564,11.72486,11.08326,-3.83145,0.01043,60.49284,0.34389,0.34444,0.1338,0.13413,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
6,2447978.1743,28.4,36.73,0.849,2447978.15836,2447978.19422,51.65,5.34361,279.65738,-5.86221,276.24449,0.00241,0.99564,11.71243,11.20583,-3.41289,0.01041,60.48652,0.34312,0.34369,0.14561,0.14594,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
7,2448008.20259,28.4,36.73,1.517,2448008.17,2448008.24333,105.6,10.60731,291.60571,-10.59236,291.88675,0.0024,1.0042,21.20151,21.19967,0.28104,0.03384,60.12362,1.10874,1.11231,1.56117,1.56298,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
8,2448066.20449,26.45,36.38,0.917,2448066.18791,2448066.22522,53.73333,5.22535,294.488,-5.5415,299.63009,0.00243,1.01402,11.92846,10.76685,5.14209,0.0108,59.94723,0.35268,0.35324,0.1073,0.10763,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
9,2448362.18189,28.4,36.73,0.864,2448362.16552,2448362.20236,53.05,5.28431,287.51835,-5.88488,284.43557,0.00246,1.00094,11.58551,11.16919,-3.08278,0.01019,59.3316,0.32934,0.32987,0.13386,0.13417,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
10,2448392.20717,26.45,36.38,1.516,2448392.17632,2448392.24574,99.96667,10.1407,293.15173,-9.89631,296.95856,0.00241,1.0087,20.3918,20.03701,3.80683,0.03133,59.85203,1.02191,1.02504,1.40054,1.40215,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
11,2448687.16667,28.4,36.73,1.11,2448687.14983,2448687.18772,54.56667,5.85832,270.56952,-6.14696,266.73769,0.00266,0.98952,12.59984,12.00529,-3.83183,0.01204,54.82792,0.35974,0.36033,0.23527,0.23561,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
12,2448776.2121,28.4,36.73,1.548,2448776.18507,2448776.24588,87.56667,8.86996,291.12172,-8.35348,300.99924,0.00245,1.01209,19.83619,17.22345,9.87752,0.02967,59.11422,0.9556,0.95814,1.08487,1.08619,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
13,2448805.20494,26.45,36.38,1.192,2448805.18848,2448805.22552,53.33333,5.49882,287.50698,-5.52823,299.18339,0.00241,1.01442,16.04722,11.02706,11.67642,0.01948,60.50935,0.64238,0.64346,0.29764,0.29824,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
14,2449336.13341,21.42,39.83,1.24,2449336.11154,2449336.16074,70.85,7.49515,244.45952,-7.55968,247.94859,0.00251,0.98192,15.45158,15.05483,3.48907,0.01807,57.88983,0.57007,0.57132,0.6603,0.661,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
15,2449011.14264,28.4,36.73,0.874,2449011.1287,2449011.16006,45.15,4.53537,252.15577,-4.96598,250.67661,0.00269,0.98175,9.61553,9.50135,-1.47916,0.00702,54.24823,0.20765,0.20791,-0.10535,-0.1052,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
16,2449041.16125,28.4,36.73,1.116,2449041.14477,2449041.18185,53.4,5.72953,265.4321,-5.9783,261.81285,0.00272,0.98677,12.25262,11.70784,-3.61926,0.01139,53.6543,0.33298,0.3335,0.18986,0.19017,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
17,2449336.13341,21.42,39.83,1.24,2449336.11154,2449336.16074,70.85,7.49515,244.45952,-7.55968,247.94859,0.00251,0.98192,15.45158,15.05483,3.48907,0.01807,57.88983,0.57007,0.57132,0.6603,0.661,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
18,2451108.1151,24.6,46.45,1.192,2451108.09905,2451108.13516,52.0,5.66818,255.20893,-6.00642,260.88881,0.00272,0.99281,12.97864,11.6746,5.67987,0.01277,53.66143,0.37349,0.37406,0.21021,0.21055,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
19,2451168.12615,27.52,41.7,1.68,2451168.09913,2451168.15993,87.55,8.87067,242.07557,-8.70944,248.05127,0.00263,0.98137,18.5604,17.58011,5.97571,0.02601,55.02864,0.77978,0.78171,1.02765,1.02868,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
20,2451197.12369,26.35,43.95,0.967,2451197.10815,2451197.14311,50.35,5.08191,247.95595,-5.49646,249.76653,0.00257,0.98137,10.73177,10.57837,1.81058,0.00875,56.72616,0.27031,0.27071,0.03989,0.04012,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
21,2451256.14213,24.6,46.5,0.859,2451256.12779,2451256.16005,46.45,5.05354,267.38537,-5.52356,271.47314,0.00244,0.99293,11.33743,10.57711,4.08777,0.00976,59.90088,0.31846,0.31895,0.06826,0.06854,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ALREFAY
22,2451462.12828,26.35,43.95,1.146,2451462.11238,2451462.14815,51.5,5.60684,259.02462,-5.9404,265.5298,0.00266,0.99603,13.24811,11.54724,6.50518,0.01331,54.79453,0.3973,0.39792,0.2113,0.21166,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ALREFAY
