Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q'
0,2460024.77804,48.0,-8.0,28.982,2460024.77337,2460024.78389,15.15,-1.94442,96.9149,0.2934,90.10049,0.00244,0.99356,7.17137,2.23782,-6.81441,0.00391,60.08524,0.12806,0.12798,-0.88014,-0.88019
1,2460024.77733,48.0,-7.74359,28.982,2460024.77266,2460024.78317,15.13333,-1.94203,96.92477,0.29342,90.10093,0.00244,0.99356,7.17959,2.23545,-6.82384,0.00392,60.08561,0.12835,0.12828,-0.8802,-0.88024
2,2460024.77662,48.0,-7.48718,28.981,2460024.77196,2460024.78244,15.1,-1.94085,96.93334,0.2922,90.09999,0.00244,0.99356,7.18787,2.23305,-6.83334,0.00393,60.08595,0.12865,0.12858,-0.88025,-0.8803
3,2460024.7759,48.0,-7.23077,28.98,2460024.77124,2460024.78172,15.1,-1.93997,96.94158,0.29067,90.09872,0.00244,0.99356,7.19617,2.23064,-6.84286,0.00394,60.08627,0.12895,0.12887,-0.88031,-0.88036
4,2460024.77519,48.0,-6.97436,28.979,2460024.77053,2460024.78101,15.08333,-1.93758,96.95145,0.29068,90.09916,0.00244,0.99356,7.20441,2.22826,-6.85229,0.00395,60.08665,0.12924,0.12917,-0.88037,-0.88041
5,2460024.77447,48.0,-6.71795,28.979,2460024.76981,2460024.78028,15.06667,-1.93792,96.95839,0.28791,90.0965,0.00244,0.99356,7.21277,2.22583,-6.86188,0.00396,60.08693,0.12955,0.12947,-0.88043,-0.88047
6,2460024.77375,48.0,-6.46154,28.978,2460024.76911,2460024.77956,15.05,-1.93553,96.96826,0.28793,90.09694,0.00244,0.99356,7.22101,2.22346,-6.87132,0.00397,60.08731,0.12984,0.12977,-0.88048,-0.88053
7,2460024.77304,48.0,-6.20513,28.977,2460024.76839,2460024.77884,15.05,-1.93465,96.9765,0.28639,90.09566,0.00244,0.99356,7.22933,2.22105,-6.88084,0.00397,60.08763,0.13014,0.13006,-0.88054,-0.88059
8,2460024.77233,48.0,-5.94872,28.977,2460024.76769,2460024.77813,15.03333,-1.93226,96.98637,0.28641,90.0961,0.00244,0.99356,7.23758,2.21867,-6.89027,0.00398,60.088,0.13044,0.13036,-0.88059,-0.88064
9,2460024.7716,48.0,-5.69231,28.976,2460024.76697,2460024.7774,15.01667,-1.9326,96.99331,0.28364,90.09345,0.00244,0.99356,7.24596,2.21624,-6.89986,0.00399,60.08829,0.13074,0.13066,-0.88065,-0.8807
10,2460024.77089,48.0,-5.4359,28.975,2460024.76626,2460024.77668,15.0,-1.9302,97.00318,0.28366,90.09389,0.00244,0.99356,7.25422,2.21386,-6.90929,0.004,60.08866,0.13104,0.13096,-0.88071,-0.88075
11,2460024.77017,48.0,-5.17949,28.974,2460024.76554,2460024.77596,15.0,-1.92933,97.01142,0.28212,90.09261,0.00244,0.99356,7.26255,2.21145,-6.91881,0.00401,60.08898,0.13134,0.13126,-0.88076,-0.88081
12,2460024.76946,48.0,-4.92308,28.974,2460024.76484,2460024.77523,14.96667,-1.92815,97.01999,0.2809,90.09168,0.00244,0.99356,7.27087,2.20905,-6.92831,0.00402,60.08932,0.13164,0.13157,-0.88082,-0.88086
13,2460024.76875,48.0,-4.66667,28.973,2460024.76413,2460024.77451,14.95,-1.92576,97.02986,0.28092,90.09212,0.00244,0.99356,7.27914,2.20667,-6.93774,0.00403,60.08969,0.13194,0.13187,-0.88087,-0.88092
14,2460024.76803,48.0,-4.41026,28.972,2460024.76341,2460024.7738,14.95,-1.92488,97.0381,0.27939,90.09084,0.00244,0.99356,7.28748,2.20427,-6.94726,0.00404,60.09001,0.13225,0.13217,-0.88093,-0.88097
15,2460024.76731,48.0,-4.15385,28.972,2460024.76271,2460024.77307,14.91667,-1.9237,97.04667,0.27816,90.0899,0.00244,0.99356,7.29581,2.20186,-6.95677,0.00405,60.09035,0.13255,0.13247,-0.88098,-0.88103
16,2460024.76659,48.0,-3.89744,28.971,2460024.76199,2460024.77235,14.91667,-1.92282,97.05491,0.27663,90.08863,0.00244,0.99356,7.30416,2.19945,-6.96629,0.00406,60.09067,0.13285,0.13277,-0.88104,-0.88108
17,2460024.76588,48.0,-3.64103,28.97,2460024.76128,2460024.77163,14.9,-1.92043,97.06478,0.27665,90.08907,0.00244,0.99356,7.31244,2.19708,-6.97572,0.00407,60.09104,0.13315,0.13308,-0.88109,-0.88114
18,2460024.76516,48.0,-3.38462,28.969,2460024.76057,2460024.7709,14.88333,-1.92077,97.07172,0.27387,90.08641,0.00244,0.99356,7.32086,2.19464,-6.98531,0.00408,60.09132,0.13346,0.13338,-0.88114,-0.88119
19,2460024.76445,48.0,-3.12821,28.969,2460024.75986,2460024.77019,14.86667,-1.91837,97.08159,0.27389,90.08685,0.00244,0.99356,7.32915,2.19226,-6.99474,0.00409,60.0917,0.13376,0.13369,-0.88119,-0.88124
20,2460024.76373,48.0,-2.87179,28.968,2460024.75914,2460024.76947,14.86667,-1.9175,97.08984,0.27236,90.08557,0.00244,0.99356,7.33751,2.18985,-7.00426,0.00409,60.09202,0.13407,0.13399,-0.88125,-0.8813
21,2460024.76302,48.0,-2.61538,28.967,2460024.75844,2460024.76874,14.83333,-1.91631,97.09841,0.27114,90.08464,0.00244,0.99356,7.34586,2.18745,-7.01377,0.0041,60.09235,0.13438,0.1343,-0.8813,-0.88135
