Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen,Source
0,2460233.24273,48.0,-8.0,0.996,2460233.23898,2460233.24741,12.13333,0.47095,248.00762,-1.71798,259.01149,0.00263,0.99464,11.21817,2.18893,11.00387,0.00955,55.66238,0.28975,0.28979,-0.78751,-0.78749,N,GENERATED
1,2460233.24215,48.0,-7.79592,0.996,2460233.23841,2460233.24683,12.11667,0.4707,248.01273,-1.71653,259.01018,0.00263,0.99464,11.21155,2.18723,10.99745,0.00954,55.66212,0.28941,0.28945,-0.78789,-0.78786,N,GENERATED
2,2460233.24159,48.0,-7.59184,0.995,2460233.23785,2460233.24626,12.11667,0.46932,248.01916,-1.7163,259.01023,0.00263,0.99464,11.20497,2.18562,10.99106,0.00953,55.66187,0.28907,0.28911,-0.78825,-0.78823,N,GENERATED
3,2460233.24101,48.0,-7.38776,0.994,2460233.23728,2460233.24568,12.1,0.46908,248.02427,-1.71485,259.00891,0.00263,0.99464,11.19835,2.18392,10.98464,0.00952,55.66162,0.28873,0.28877,-0.78862,-0.7886,N,GENERATED
4,2460233.24045,48.0,-7.18367,0.994,2460233.23671,2460233.24512,12.1,0.46769,248.03071,-1.71461,259.00897,0.00263,0.99464,11.19177,2.18231,10.97826,0.00951,55.66137,0.28839,0.28843,-0.78898,-0.78896,N,GENERATED
5,2460233.23988,48.0,-6.97959,0.993,2460233.23616,2460233.24454,12.06667,0.46603,248.03748,-1.71468,259.00936,0.00263,0.99464,11.18521,2.18071,10.97189,0.0095,55.66113,0.28805,0.28809,-0.78934,-0.78932,N,GENERATED
6,2460233.23931,48.0,-6.77551,0.993,2460233.23559,2460233.24397,12.06667,0.46465,248.04391,-1.71445,259.00942,0.00263,0.99464,11.17864,2.1791,10.9655,0.00949,55.66088,0.28771,0.28775,-0.78971,-0.78968,N,GENERATED
7,2460233.23874,48.0,-6.57143,0.992,2460233.23502,2460233.24339,12.05,0.4644,248.04902,-1.713,259.0081,0.00263,0.99464,11.17201,2.1774,10.95908,0.00948,55.66062,0.28737,0.28741,-0.79008,-0.79006,N,GENERATED
8,2460233.23818,48.0,-6.36735,0.992,2460233.23446,2460233.24282,12.05,0.46302,248.05545,-1.71277,259.00815,0.00263,0.99464,11.16544,2.17579,10.9527,0.00946,55.66037,0.28703,0.28707,-0.79044,-0.79042,N,GENERATED
9,2460233.2376,48.0,-6.16327,0.991,2460233.23389,2460233.24225,12.03333,0.46277,248.06056,-1.71132,259.00684,0.00263,0.99464,11.15881,2.17409,10.94628,0.00945,55.66012,0.28669,0.28673,-0.79081,-0.79079,N,GENERATED
