Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q'
0,2460263.90503,-60.0,-180.0,2.011,2460263.84331,2460263.98218,199.96667,7.29843,228.2443,-7.77101,208.9006,0.00254,0.98697,24.47645,15.06944,-19.3437,0.04493,57.29079,1.40274,1.40571,1.09422,1.09566
1,2460264.90535,-60.0,-170.76923,3.011,2460264.81947,2460265.0127,278.25,10.32122,231.76704,-9.45363,200.14378,0.00252,0.98705,37.16206,19.77486,-31.62327,0.10153,57.24476,3.16715,3.1766,2.38549,2.38998
2,2460264.87915,-60.0,-161.53846,2.985,2460264.79377,2460264.98588,276.63333,10.24016,231.62457,-9.4259,200.3316,0.00252,0.98704,36.82759,19.66607,-31.29297,0.09978,57.24931,3.11261,3.12182,2.34877,2.35313
3,2460264.85296,-60.0,-152.30769,2.959,2460264.76809,2460264.95905,274.98333,10.15806,231.48239,-9.39795,200.51894,0.00252,0.98704,36.49326,19.55602,-30.96345,0.09804,57.25388,3.05851,3.06749,2.31227,2.31649
4,2460264.82676,-60.0,-143.07692,2.933,2460264.7424,2460264.93221,273.33333,10.07667,231.34408,-9.36897,200.71016,0.00252,0.98704,36.15888,19.44564,-30.63393,0.09631,57.25815,3.00481,3.01356,2.27603,2.28014
5,2460264.80055,-60.0,-133.84615,2.907,2460264.71671,2460264.90534,271.61667,9.99563,231.20895,-9.33909,200.90437,0.00252,0.98703,35.82451,19.33473,-30.30457,0.09459,57.26219,2.95151,2.96005,2.24004,2.24402
6,2460264.77433,-60.0,-124.61538,2.88,2460264.69103,2460264.87845,269.88333,9.91443,231.07591,-9.30856,201.10027,0.00252,0.98703,35.49018,19.22299,-29.97563,0.09289,57.26608,2.89864,2.90696,2.20427,2.20813
7,2460264.7481,-60.0,-115.38462,2.854,2460264.66534,2460264.85155,268.15,9.83391,230.94677,-9.27695,201.30004,0.00252,0.98703,35.15582,19.11086,-29.64673,0.09121,57.26969,2.84618,2.85428,2.16872,2.17247
8,2460264.72186,-60.0,-106.15385,2.828,2460264.63965,2460264.82462,266.35,9.75374,230.82081,-9.2444,201.5028,0.00252,0.98702,34.82145,18.99814,-29.31802,0.08953,57.27306,2.79413,2.80202,2.13338,2.13703
9,2460264.69561,-60.0,-96.92308,2.802,2460264.61396,2460264.79767,264.55,9.67425,230.69877,-9.21074,201.70941,0.00252,0.98702,34.48706,18.88499,-28.98936,0.08787,57.27615,2.74249,2.75017,2.09826,2.1018
