Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen,Source
0,2460292.931,-60,-180,1.45,2460292.887,2460292.985,140.85,4.27025,218.64972,-4.57609,201.69846,0.00248,0.9821,19.10573,8.84634,-16.95126,0.02754,58.99583,0.88539,0.88652,0.21041,0.211,S,Generated
1,2460293.913,-60,-170.76923,2.432,2460293.862,2460293.977,164.73333,6.61683,229.02985,-5.01576,199.12273,0.00247,0.98225,32.0388,11.63258,-29.90712,0.07616,59.05677,2.45069,2.45554,1.23928,1.2415,S,Generated
2,2460293.887,-60,-161.53846,2.407,2460293.837,2460293.951,164.36667,6.55599,228.7281,-5.00983,199.16324,0.00247,0.98224,31.69703,11.56582,-29.56486,0.07458,59.05843,2.40008,2.40479,1.20949,1.21164,S,Generated
3,2460293.862,-60,-152.30769,2.381,2460293.811,2460293.925,163.96667,6.49595,228.42948,-5.00328,199.2071,0.00247,0.98223,31.35522,11.49923,-29.22237,0.07302,59.05982,2.34994,2.35451,1.17992,1.18201,S,Generated
4,2460293.836,-60,-143.07692,2.355,2460293.785,2460293.899,163.58333,6.43466,228.12962,-4.99703,199.24928,0.00247,0.98223,31.01358,11.43169,-28.88034,0.07148,59.06118,2.30032,2.30475,1.15049,1.15251,S,Generated
5,2460293.81,-60,-133.84615,2.329,2460293.76,2460293.873,163.18333,6.37499,227.83473,-4.98977,199.29692,0.00247,0.98222,30.67179,11.36476,-28.53781,0.06995,59.06217,2.25114,2.25544,1.12131,1.12327,S,Generated
6,2460293.784,-60,-124.61538,2.304,2460293.734,2460293.847,162.76667,6.3139,227.53825,-4.98288,199.34246,0.00247,0.98222,30.33021,11.29678,-28.19579,0.06844,59.06314,2.20249,2.20665,1.09224,1.09414,S,Generated
7,2460293.758,-60,-115.38462,2.278,2460293.708,2460293.821,162.33333,6.2529,227.24346,-4.97567,199.38968,0.00247,0.98221,29.98867,11.22857,-27.85378,0.06694,59.06393,2.15432,2.15836,1.06334,1.06519,S,Generated
8,2460293.733,-60,-106.15385,2.252,2460293.683,2460293.795,161.9,6.19132,226.94891,-4.96844,199.43689,0.00247,0.98221,29.64724,11.15976,-27.51201,0.06546,59.0646,2.10667,2.11057,1.03458,1.03638,S,Generated
9,2460293.707,-60,-96.92308,2.226,2460293.657,2460293.769,161.45,6.12982,226.65605,-4.96089,199.48578,0.00247,0.9822,29.30585,11.0907,-27.17027,0.06399,59.06508,2.0595,2.06328,1.00599,1.00773,S,Generated
10,2460293.681,-60,-87.69231,2.2,2460293.631,2460293.743,161,6.06921,226.36671,-4.95262,199.53845,0.00247,0.9822,28.96441,11.02183,-26.82826,0.06254,59.06528,2.01282,2.01648,0.97759,0.97928,S,Generated
11,2460293.655,-60,-78.46154,2.175,2460293.606,2460293.717,160.51667,6.00785,226.07725,-4.9444,199.59069,0.00247,0.9822,28.62312,10.95225,-26.48656,0.06111,59.06538,1.96665,1.97019,0.94931,0.95094,S,Generated
12,2460293.629,-60,-69.23077,2.149,2460293.58,2460293.691,160.03333,5.94589,225.78804,-4.93617,199.64293,0.00247,0.98219,28.28195,10.88206,-26.14512,0.05969,59.06537,1.921,1.92442,0.92114,0.92273,S,Generated
13,2460293.604,-60,-60,2.123,2460293.554,2460293.665,159.53333,5.88398,225.50054,-4.9276,199.69684,0.00247,0.98219,27.94084,10.81158,-25.8037,0.05828,59.06516,1.87585,1.87915,0.89313,0.89466,S,Generated
14,2460293.578,-60,-50.76923,2.097,2460293.529,2460293.639,159.03333,5.82293,225.21658,-4.9183,199.75453,0.00247,0.98218,27.59969,10.74123,-25.46205,0.0569,59.06468,1.83119,1.83438,0.86529,0.86678,S,Generated
15,2460293.552,-60,-41.53846,2.071,2460293.503,2460293.613,158.5,5.7611,224.93251,-4.90906,199.81179,0.00247,0.98218,27.25869,10.67016,-25.12072,0.05553,59.06411,1.78706,1.79014,0.83755,0.83899,S,Generated
16,2460293.526,-60,-32.30769,2.045,2460293.477,2460293.587,157.96667,5.69867,224.6487,-4.89979,199.86905,0.00247,0.98217,26.91784,10.59846,-24.77965,0.05417,59.06341,1.74344,1.74642,0.80992,0.81132,S,Generated
17,2460293.5,-60,-23.07692,2.02,2460293.452,2460293.561,157.4,5.6369,224.36807,-4.88986,199.92967,0.00247,0.98217,26.57699,10.52676,-24.4384,0.05283,59.06246,1.70033,1.7032,0.78246,0.78381,S,Generated
18,2460293.474,-60,-13.84615,1.994,2460293.426,2460293.535,156.85,5.57529,224.08954,-4.87951,199.99237,0.00247,0.98216,26.23619,10.4548,-24.09716,0.05151,59.06131,1.65773,1.6605,0.75513,0.75644,S,Generated
19,2460293.449,-60,-4.61538,1.968,2460293.4,2460293.509,156.26667,5.51291,223.81091,-4.8692,200.05465,0.00247,0.98216,25.89556,10.38211,-23.75625,0.0502,59.06006,1.61566,1.61833,0.7279,0.72917,S,Generated
20,2460293.423,-60,4.61538,1.942,2460293.375,2460293.483,155.65,5.45114,223.53547,-4.85823,200.12029,0.00247,0.98216,25.55494,10.30937,-23.41518,0.04891,59.05856,1.5741,1.57667,0.70082,0.70205,S,Generated
21,2460293.397,-60,13.84615,1.916,2460293.349,2460293.457,155.03333,5.38875,223.26031,-4.84722,200.18592,0.00247,0.98215,25.21448,10.23597,-23.0744,0.04764,59.05694,1.53307,1.53554,0.67385,0.67503,S,Generated
22,2460293.371,-60,23.07692,1.89,2460293.323,2460293.431,154.41667,5.32711,222.98873,-4.83546,200.25531,0.00247,0.98215,24.87402,10.16257,-22.73341,0.04638,59.05506,1.49255,1.49493,0.64703,0.64818,S,Generated
23,2460293.345,-60,32.30769,1.865,2460293.298,2460293.404,153.76667,5.26467,222.71706,-4.82374,200.32429,0.00247,0.98214,24.53376,10.0884,-22.39277,0.04514,59.05307,1.45257,1.45486,0.6203,0.62141,S,Generated
24,2460293.319,-60,41.53846,1.839,2460293.272,2460293.378,153.1,5.20219,222.44714,-4.81166,200.39493,0.00247,0.98214,24.19359,10.01385,-22.05221,0.04392,59.0509,1.41311,1.41531,0.5937,0.59477,S,Generated
25,2460293.293,-60,50.76923,1.813,2460293.246,2460293.352,152.43333,5.14043,222.1808,-4.79881,200.46934,0.00247,0.98214,23.85344,9.93924,-21.71147,0.04271,59.04848,1.37417,1.37628,0.56726,0.56829,S,Generated
