Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen
0,2460293.21392,48.0,-8.0,1.733,2460293.19367,2460293.23924,65.61667,3.33668,218.98259,-4.95512,240.31404,0.00247,0.98213,22.86693,8.29181,21.33145,0.0393,59.16061,1.26674,1.26801,0.34963,0.35026,S
1,2460293.21319,48.0,-7.74359,1.733,2460293.19295,2460293.23848,65.56667,3.33424,218.98482,-4.95079,240.30879,0.00247,0.98213,22.85754,8.28503,21.32397,0.03926,59.16051,1.26571,1.26698,0.34844,0.34907,S
2,2460293.21245,48.0,-7.48718,1.732,2460293.19223,2460293.23773,65.51667,3.33179,218.98705,-4.94647,240.30353,0.00247,0.98213,22.84815,8.27826,21.31649,0.03923,59.16042,1.26468,1.26595,0.34725,0.34788,S
3,2460293.21173,48.0,-7.23077,1.731,2460293.19153,2460293.23699,65.46667,3.32768,218.99241,-4.94456,240.30126,0.00247,0.98213,22.83888,8.27224,21.30885,0.0392,59.16042,1.26367,1.26493,0.34615,0.34678,S
4,2460293.211,48.0,-6.97436,1.73,2460293.19081,2460293.23624,65.41667,3.32524,218.99464,-4.94023,240.296,0.00247,0.98213,22.82949,8.26547,21.30137,0.03917,59.16033,1.26264,1.2639,0.34496,0.34559,S
5,2460293.21027,48.0,-6.71795,1.73,2460293.1901,2460293.23549,65.35,3.32187,218.99861,-4.93725,240.2924,0.00247,0.98213,22.82017,8.25911,21.2938,0.03914,59.16029,1.26163,1.26288,0.34382,0.34445,S
6,2460293.20955,48.0,-6.46154,1.729,2460293.18939,2460293.23475,65.31667,3.31868,219.00223,-4.93399,240.28847,0.00247,0.98213,22.81083,8.25268,21.28624,0.03911,59.16023,1.26061,1.26186,0.34267,0.3433,S
7,2460293.20882,48.0,-6.20513,1.728,2460293.18868,2460293.23399,65.25,3.31532,219.0062,-4.93101,240.28487,0.00247,0.98213,22.80151,8.24633,21.27867,0.03907,59.16019,1.25959,1.26084,0.34153,0.34216,S
8,2460293.20809,48.0,-5.94872,1.728,2460293.18796,2460293.23324,65.2,3.31287,219.00843,-4.92668,240.27961,0.00247,0.98213,22.79212,8.23956,21.27118,0.03904,59.1601,1.25856,1.25982,0.34035,0.34097,S
9,2460293.20736,48.0,-5.69231,1.727,2460293.18726,2460293.23249,65.13333,3.30951,219.0124,-4.9237,240.27601,0.00247,0.98213,22.7828,8.23321,21.26361,0.03901,59.16005,1.25755,1.2588,0.33921,0.33983,S
10,2460293.20663,48.0,-5.4359,1.726,2460293.18654,2460293.23175,65.1,3.30633,219.01602,-4.92045,240.27208,0.00247,0.98213,22.77346,8.22678,21.25606,0.03898,59.16,1.25653,1.25778,0.33806,0.33868,S
11,2460293.20591,48.0,-5.17949,1.725,2460293.18583,2460293.231,65.03333,3.30296,219.02,-4.91747,240.26848,0.00247,0.98213,22.76414,8.22043,21.24848,0.03895,59.15996,1.25551,1.25676,0.33692,0.33754,S
12,2460293.20517,48.0,-4.92308,1.725,2460293.18512,2460293.23024,64.98333,3.30052,219.02223,-4.91314,240.26322,0.00247,0.98213,22.75475,8.21366,21.241,0.03892,59.15986,1.25449,1.25573,0.33574,0.33635,S
13,2460293.20444,48.0,-4.66667,1.724,2460293.1844,2460293.2295,64.95,3.29734,219.02585,-4.90989,240.25929,0.00247,0.98213,22.74542,8.20723,21.23344,0.03888,59.15981,1.25347,1.25471,0.33459,0.3352,S
14,2460293.20372,48.0,-4.41026,1.723,2460293.18369,2460293.22875,64.88333,3.29398,219.02983,-4.90691,240.25569,0.00247,0.98213,22.7361,8.20089,21.22586,0.03885,59.15976,1.25246,1.2537,0.33345,0.33406,S
15,2460293.20298,48.0,-4.15385,1.722,2460293.18297,2460293.228,64.83333,3.29154,219.03206,-4.90258,240.25044,0.00247,0.98213,22.72671,8.19412,21.21837,0.03882,59.15966,1.25144,1.25267,0.33226,0.33288,S
16,2460293.20226,48.0,-3.89744,1.722,2460293.18227,2460293.22725,64.76667,3.28818,219.03604,-4.8996,240.24683,0.00247,0.98213,22.71739,8.18778,21.2108,0.03879,59.15962,1.25042,1.25166,0.33113,0.33174,S
17,2460293.20153,48.0,-3.64103,1.721,2460293.18155,2460293.2265,64.73333,3.28501,219.03966,-4.89635,240.2429,0.00247,0.98213,22.70806,8.18135,21.20324,0.03876,59.15957,1.24941,1.25064,0.32998,0.33059,S
18,2460293.2008,48.0,-3.38462,1.72,2460293.18084,2460293.22575,64.66667,3.28165,219.04364,-4.89337,240.2393,0.00247,0.98213,22.69873,8.17501,21.19566,0.03873,59.15952,1.24839,1.24962,0.32884,0.32945,S
19,2460293.20007,48.0,-3.12821,1.719,2460293.18013,2460293.225,64.61667,3.27921,219.04587,-4.88904,240.23404,0.00247,0.98213,22.68935,8.16825,21.18817,0.0387,59.15942,1.24737,1.2486,0.32766,0.32827,S
20,2460293.19935,48.0,-2.87179,1.719,2460293.17942,2460293.22426,64.56667,3.27511,219.05124,-4.88713,240.23176,0.00247,0.98213,22.68008,8.16224,21.18053,0.03866,59.15942,1.24637,1.24759,0.32656,0.32717,S
21,2460293.19862,48.0,-2.61538,1.718,2460293.1787,2460293.22351,64.51667,3.27268,219.05348,-4.88281,240.22651,0.00247,0.98212,22.6707,8.15549,21.17303,0.03863,59.15932,1.24535,1.24657,0.32537,0.32598,S
22,2460293.19789,48.0,-2.35897,1.717,2460293.178,2460293.22275,64.45,3.26932,219.05745,-4.87983,240.22291,0.00247,0.98212,22.66138,8.14915,21.16545,0.0386,59.15928,1.24434,1.24556,0.32424,0.32485,S
23,2460293.19716,48.0,-2.10256,1.717,2460293.17728,2460293.222,64.4,3.26689,219.05969,-4.8755,240.21765,0.00247,0.98212,22.652,8.14239,21.15796,0.03857,59.15917,1.24332,1.24454,0.32306,0.32366,S
24,2460293.19643,48.0,-1.84615,1.716,2460293.17656,2460293.22126,64.36667,3.26372,219.06332,-4.87225,240.21372,0.00247,0.98212,22.64267,8.13597,21.1504,0.03854,59.15912,1.24231,1.24352,0.32191,0.32252,S
25,2460293.1957,48.0,-1.58974,1.715,2460293.17586,2460293.22051,64.3,3.26036,219.06729,-4.86927,240.21011,0.00247,0.98212,22.63335,8.12963,21.14282,0.03851,59.15907,1.2413,1.24251,0.32077,0.32138,S
26,2460293.19497,48.0,-1.33333,1.714,2460293.17514,2460293.21976,64.25,3.25793,219.06953,-4.86495,240.20486,0.00247,0.98212,22.62396,8.12288,21.13532,0.03848,59.15897,1.24028,1.24149,0.31959,0.3202,S
27,2460293.19425,48.0,-1.07692,1.714,2460293.17443,2460293.21902,64.2,3.25384,219.0749,-4.86304,240.20258,0.00247,0.98212,22.6147,8.11688,21.12768,0.03844,59.15897,1.23928,1.24049,0.31849,0.31909,S
28,2460293.19351,48.0,-0.82051,1.713,2460293.17372,2460293.21826,64.15,3.25141,219.07714,-4.85872,240.19732,0.00247,0.98212,22.60532,8.11013,21.12018,0.03841,59.15886,1.23826,1.23947,0.31731,0.31791,S
29,2460293.19279,48.0,-0.5641,1.712,2460293.17301,2460293.21751,64.08333,3.24806,219.08112,-4.85573,240.19372,0.00247,0.98212,22.596,8.10379,21.1126,0.03838,59.15881,1.23725,1.23846,0.31618,0.31678,S
30,2460293.19206,48.0,-0.30769,1.711,2460293.17229,2460293.21676,64.03333,3.24563,219.08336,-4.85141,240.18846,0.00247,0.98212,22.58662,8.09704,21.1051,0.03835,59.15871,1.23624,1.23744,0.31499,0.31559,S
31,2460293.19133,48.0,-0.05128,1.711,2460293.17159,2460293.21602,63.98333,3.24154,219.08873,-4.84951,240.18618,0.00247,0.98212,22.57735,8.09104,21.09745,0.03832,59.15871,1.23523,1.23644,0.3139,0.31449,S
32,2460293.1906,48.0,0.20513,1.71,2460293.17087,2460293.21527,63.93333,3.23911,219.09097,-4.84518,240.18092,0.00247,0.98212,22.56797,8.08429,21.08995,0.03829,59.1586,1.23422,1.23542,0.31272,0.31331,S
33,2460293.18987,48.0,0.46154,1.709,2460293.17016,2460293.21451,63.86667,3.23576,219.09495,-4.8422,240.17732,0.00247,0.98212,22.55866,8.07796,21.08237,0.03826,59.15855,1.23321,1.23441,0.31158,0.31218,S
34,2460293.18915,48.0,0.71795,1.709,2460293.16944,2460293.21377,63.83333,3.2326,219.09859,-4.83895,240.17339,0.00247,0.98212,22.54933,8.07155,21.0748,0.03823,59.15849,1.2322,1.2334,0.31044,0.31103,S
35,2460293.18841,48.0,0.97436,1.708,2460293.16873,2460293.21302,63.78333,3.23018,219.10083,-4.83463,240.16813,0.00247,0.98212,22.53995,8.06481,21.0673,0.03819,59.15839,1.23119,1.23238,0.30926,0.30985,S
36,2460293.18769,48.0,1.23077,1.707,2460293.16802,2460293.21227,63.71667,3.22683,219.10481,-4.83165,240.16453,0.00247,0.98212,22.53063,8.05848,21.05972,0.03816,59.15834,1.23019,1.23138,0.30812,0.30872,S
37,2460293.18696,48.0,1.48718,1.706,2460293.1673,2460293.21153,63.68333,3.22366,219.10844,-4.8284,240.16059,0.00247,0.98212,22.5213,8.05206,21.05215,0.03813,59.15828,1.22918,1.23037,0.30698,0.30757,S
38,2460293.18623,48.0,1.74359,1.706,2460293.1666,2460293.21078,63.61667,3.22032,219.11243,-4.82542,240.15699,0.00247,0.98212,22.51199,8.04574,21.04456,0.0381,59.15823,1.22817,1.22936,0.30585,0.30644,S
