,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,jua45,Mon 13 November 2023 ,قمار,الوادي,Algeria ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
1,jua45,Mon 13 November 2023 ,Kaduna,Kaduna,Nigeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
2,jua45,Tue 14 November 2023 ,القرارة,غرداية ,Algeria ,After sunset,clear,superb,Seen,not seen,seen,seen,seen
3,jua45,Tue 14 November 2023 ,بني يزجن - جبل عبد الدايم,غرداية,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
4,jua45,Tue 14 November 2023 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,superb,Photographed,not sought,not sought,not sought,seen
5,jua45,Tue 14 November 2023 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
6,jua45,Tue 14 November 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
7,jua45,Tue 14 November 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not seen,not seen
8,jua45,Tue 14 November 2023 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Seen,not seen,seen,not sought,not sought
9,jua45,Tue 14 November 2023 ,انواكشوط ,تفرغ زينة ,Mauritania ,After sunset,totally cloudy,very hazy,Seen by others,not seen,not sought,not sought,not sought
10,jua45,Tue 14 November 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
11,jua45,Tue 14 November 2023 ,الممدية,المهدية,Tunisia ,After sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not sought
12,jua45,Tue 14 November 2023 ,الإمارات,دبي,United Arab Emirates ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
13,jua45,Tue 14 November 2023 ,دبي,دبي,United Arab Emirates ,After sunset,partly cloudy,hazy,Photographed,not seen,not sought,not seen,seen
14,jua45,Tue 14 November 2023 ,Khatim,Abu Dhabi,United Arab Emirates ,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
15,jua45,Tue 14 November 2023 ,Blacksburg,Virginia,United States ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
16,jua45,Tue 14 November 2023 ,جعيمة,حضرموت,Yemen ,After sunset,clear,superb,Seen,seen,not seen,not sought,not sought
17,jua45,Sun 12 November 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,partly cloudy,hazy,Seen,not seen,not seen,seen,seen
18,jua45,Sun 12 November 2023 ,تاجوراء,طرابلس,Libya ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
19,jua45,Sun 12 November 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
20,jua45,Sun 12 November 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
21,jua45,Sun 12 November 2023 ,الإمارات,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,seen
22,jua45,Sun 12 November 2023 ,جعيمة,حضرمةت,Yemen ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,seen
23,jua45,Mon 13 November 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
24,jua45,Mon 13 November 2023 ,الإمارات,دبي,Palestine ,Before sunrise,clear,superb,Not Seen,not sought,not sought,not sought,not sought
