,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,muh45,Tue 18 July 2023 ,كوينين,الوادي,Algeria ,After sunset,clear,hazy,Not Seen,not sought,not seen,not seen,not seen
1,muh45,Tue 18 July 2023 ,عيسى,الوسطى,Bahrain ,After sunset,clear,clear,Photographed,not sought,not sought,not seen,seen
2,muh45,Tue 18 July 2023 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
3,muh45,Tue 18 July 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
4,muh45,Tue 18 July 2023 ,طنطا,الغربية,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
5,muh45,Tue 18 July 2023 ,القاهرة,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
6,muh45,Tue 18 July 2023 ,Munich,Bavaria,Germany ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
7,muh45,Tue 18 July 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen by others,not seen,not seen,not seen,not seen
8,muh45,Tue 18 July 2023 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Seen,not seen,seen,not sought,not sought
9,muh45,Tue 18 July 2023 ,بغداد الجديدة ,بغداد ,Iraq ,After sunset,clear,clear,Seen,not seen,not sought,seen,seen
10,muh45,Tue 18 July 2023 ,مدينة الصدر ,بغداد,Iraq ,After sunset,clear,clear,Not Seen,not seen,not sought,not seen,not sought
11,muh45,Tue 18 July 2023 ,شط العرب,البصرة,Iraq ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
12,muh45,Tue 18 July 2023 ,Irbid,Irbid,Jordan ,After sunset,clear,clear,Seen,not seen,seen,not sought,seen
13,muh45,Tue 18 July 2023 ,Irbid,Irbid,Jordan ,Before sunset,clear,superb,Photographed,not sought,not sought,not sought,seen
14,muh45,Tue 18 July 2023 ,السواقة,عمان,Jordan ,After sunset,clear,clear,Seen,not seen,seen,not sought,not sought
15,muh45,Tue 18 July 2023 ,الكويت,الكويت,Kuwait ,After sunset,clear,clear,Seen,not seen,seen,seen,seen
16,muh45,Tue 18 July 2023 ,تاجوراء,طرابلس,Libya ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
17,muh45,Tue 18 July 2023 ,Bouznik1,Bouznika ,Morocco ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
18,muh45,Tue 18 July 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Seen by others,not seen,not sought,not sought,not sought
19,muh45,Tue 18 July 2023 ,القدس,القدس,Palestine ,After sunset,clear,clear,Seen by others,not seen,not sought,seen,not sought
20,muh45,Tue 18 July 2023 ,أملج,أملج,Saudi Arabia ,After sunset,clear,clear,Seen,not sought,not sought,seen,seen
21,muh45,Tue 18 July 2023 ,حلب,حلب,Syria ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
22,muh45,Tue 18 July 2023 ,المهدية,المهدية,Tunisia ,After sunset,clear,very hazy,Not Seen,not sought,not seen,not sought,not sought
23,muh45,Tue 18 July 2023 ,Abu Dhabi,Abu Dhabi,United Arab Emirates ,Before sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
24,muh45,Tue 18 July 2023 ,Blacksburg,Virginia,United States ,After sunset,totally cloudy,very hazy,Seen by others,not seen,not seen,not sought,not sought
25,muh45,Tue 18 July 2023 ,جعيمة ,حضرموت,Yemen ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
26,muh45,Wed 19 July 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
27,muh45,Wed 19 July 2023 ,مدينة الصدر ,بغداد,Iraq ,After sunset,clear,clear,Seen,seen,not sought,seen,not sought
28,muh45,Wed 19 July 2023 ,Curepipe,Plaine Wilhems ,Mauritius ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
29,muh45,Wed 19 July 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
30,muh45,Wed 19 July 2023 ,دبي,دبي,United Arab Emirates ,After sunset,clear,hazy,Seen,seen,seen,seen,seen
31,muh45,Wed 19 July 2023 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
32,muh45,Sun 16 July 2023 ,طنطا,الغربية,Egypt ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
33,muh45,Sun 16 July 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,clear,clear,Seen,seen,seen,seen,not sought
34,muh45,Sun 16 July 2023 ,الحسينية,بغداد,Iraq ,Before sunrise,clear,superb,Seen,seen,not sought,seen,seen
35,muh45,Sun 16 July 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
36,muh45,Sun 16 July 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,hazy,Seen,seen,seen,seen,seen
37,muh45,Sun 16 July 2023 ,جعيمة ,حضرموت,Yemen ,Before sunrise,clear,clear,Seen,seen,seen,not sought,seen
38,muh45,Mon 17 July 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Not Seen,not sought,not sought,not sought,not sought
39,muh45,Mon 17 July 2023 ,جعيمة,حضرموت,Palestine ,Before sunrise,clear,clear,Not Seen,not seen,not seen,not sought,not sought
