,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,raa42,Sat 17 October 2020 ,كوينين,الوادي,Algeria ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
1,raa42,Sat 17 October 2020 ,تافيلالت بني يسجن,غرداية,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
2,raa42,Sat 17 October 2020 ,حاسي بحبح ,الجلفة,Algeria ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
3,raa42,Sat 17 October 2020 ,Sydney,NSW,Australia ,After sunset,totally cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
4,raa42,Sat 17 October 2020 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,clear,Seen,not seen,not sought,seen,seen
5,raa42,Sat 17 October 2020 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
6,raa42,Sat 17 October 2020 ,عيسى,الجنوبية,Bahrain ,After sunset,clear,superb,Seen,not seen,not sought,seen,seen
7,raa42,Sat 17 October 2020 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
8,raa42,Sat 17 October 2020 ,Sarbogard,Fejer,Hungary ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
9,raa42,Sat 17 October 2020 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not seen
10,raa42,Sat 17 October 2020 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not sought,seen
11,raa42,Sat 17 October 2020 ,Medan,North Sumatera,Indonesia ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not seen,not seen
12,raa42,Sat 17 October 2020 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
13,raa42,Sat 17 October 2020 ,إربد,إربد,Jordan ,After sunset,clear,clear,Seen,seen,seen,seen,not sought
14,raa42,Sat 17 October 2020 ,Telok Kemang Observatory,Negeri Sembilan,Malaysia ,After sunset,partly cloudy,clear,Photographed,not sought,not seen,not sought,seen
15,raa42,Sat 17 October 2020 ,Telok Kemang Observatory,Negeri Sembilan,Malaysia ,Before sunset,partly cloudy,clear,Photographed,not seen,not sought,not sought,seen
16,raa42,Sat 17 October 2020 ,الناظور,الشرق,Morocco ,After sunset,partly cloudy,clear,Seen by others,seen,not sought,not sought,not sought
17,raa42,Sat 17 October 2020 ,rabat,-- Select One --,Morocco ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
18,raa42,Sat 17 October 2020 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
19,raa42,Sat 17 October 2020 ,Kathmandu,Bagmati,Nepal ,After sunset,clear,very hazy,Not Seen,not seen,not seen,not sought,not sought
20,raa42,Sat 17 October 2020 ,الظهران,الشرقيه,Saudi Arabia ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
21,raa42,Sat 17 October 2020 ,أملج ,أملج ,Saudi Arabia ,After sunset,clear,clear,Photographed,not seen,not sought,not sought,seen
22,raa42,Sat 17 October 2020 ,Daressalaam ,Tanzania,Tanzania ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
23,raa42,Sat 17 October 2020 ,Abu Dhabi,Choose a,United Arab Emirates ,Before sunset,clear,superb,Photographed,not sought,not sought,not sought,seen
24,raa42,Sat 17 October 2020 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
25,raa42,Sat 17 October 2020 ,‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,After sunset,clear,superb,Seen,seen,seen,seen,not sought
26,raa42,Sat 17 October 2020 ,Christiansburg,Virginia,United States ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
27,raa42,Sun 18 October 2020 ,Medan,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Seen,seen,not sought,seen,seen
28,raa42,Sun 18 October 2020 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
29,raa42,Sun 18 October 2020 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
30,raa42,Sun 18 October 2020 ,Blacksburg,Virginia,United States ,Before sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
31,raa42,Thu 15 October 2020 ,الكويف,تبسة,Algeria ,Before sunrise,clear,hazy,Seen,seen,not sought,not sought,not sought
32,raa42,Thu 15 October 2020 ,Surakarta,Central Java,Indonesia ,Before sunrise,partly cloudy,clear,Seen,seen,seen,seen,not sought
33,raa42,Thu 15 October 2020 ,طنجة,طنجة,Morocco ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
34,raa42,Thu 15 October 2020 ,ديربلوط,سلفيت,Palestine ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
35,raa42,Thu 15 October 2020 ,المدينة المنورة ,المدينة النبوية ,Saudi Arabia ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
36,raa42,Thu 15 October 2020 ,York,North Yorkshire,United Kingdom ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
37,raa42,Thu 15 October 2020 ,Blacksburg,Virginia,United States ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
38,raa42,Thu 15 October 2020 ,سالم Salem,‏ماساتشوستس Massachusetts,United States ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
39,raa42,Fri 16 October 2020 ,كوينين,الوادي,Algeria ,Before sunrise,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
40,raa42,Fri 16 October 2020 ,مدينة عيسى,الجنوبية,Bahrain ,After sunrise,clear,clear,Photographed,not sought,not sought,not sought,seen
41,raa42,Fri 16 October 2020 ,المدينة المنورة ,المدينة المنورة,Bahrain ,Before sunrise,clear,clear,Not Seen,not seen,not seen,not sought,not sought
