,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,saf45,Wed 16 August 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not seen,not sought
1,saf45,Wed 16 August 2023 ,Medan,Sumatera Utara,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not seen,not seen
2,saf45,Wed 16 August 2023 ,Shahreza,Isfahan,Iran ,After sunset,clear,clear,Not Seen,not sought,not seen,not sought,not sought
3,saf45,Wed 16 August 2023 ,تجكجه,اتكانت,Mauritania ,Before sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
4,saf45,Wed 16 August 2023 ,طنجة,طنجة,Morocco ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not seen
5,saf45,Wed 16 August 2023 ,Meknes,Meknes,Morocco ,After sunset,clear,clear,Not Seen,not seen,not seen,not sought,not sought
6,saf45,Wed 16 August 2023 ,Kaduna ,Kaduna ,Nigeria ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
7,saf45,Wed 16 August 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
8,saf45,Wed 16 August 2023 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
9,saf45,Thu 17 August 2023 ,Coxsbazar ,Chittagong ,Bangladesh ,After sunset,partly cloudy,superb,Seen,seen,not sought,not sought,not sought
10,saf45,Thu 17 August 2023 ,القاهرة,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
11,saf45,Thu 17 August 2023 ,Munich,Bavaria,Germany ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
12,saf45,Thu 17 August 2023 ,Shahreza,Isfahan,Iran ,Before sunset,clear,hazy,Seen,seen,seen,not sought,not sought
13,saf45,Thu 17 August 2023 ,إربد,إربد,Jordan ,Before sunset,partly cloudy,hazy,Seen,seen,seen,not sought,seen
14,saf45,Thu 17 August 2023 ,تاجوراء,طرابلس,Libya ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
15,saf45,Thu 17 August 2023 ,طنجة,طنجة,Morocco ,After sunset,clear,superb,Seen,seen,not sought,not sought,seen
16,saf45,Thu 17 August 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
17,saf45,Thu 17 August 2023 ,المهدية,المهدية,Tunisia ,After sunset,clear,clear,Seen,seen,seen,not sought,seen
18,saf45,Thu 17 August 2023 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
19,saf45,Thu 17 August 2023 ,جعيمة,حضرموت,Yemen ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
20,saf45,Tue 15 August 2023 ,Munich,Bavaria,Germany ,After sunrise,clear,clear,Photographed,not sought,not sought,not seen,seen
21,saf45,Tue 15 August 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
22,saf45,Tue 15 August 2023 ,تاجوراء,طرابلس,Libya ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,seen
23,saf45,Tue 15 August 2023 ,طنجة,طنجة,Morocco ,Before sunrise,partly cloudy,hazy,Photographed,not seen,not sought,not sought,seen
24,saf45,Tue 15 August 2023 ,Meknes,Meknes,Morocco ,Before sunrise,partly cloudy,clear,Seen,seen,seen,not sought,not sought
25,saf45,Tue 15 August 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
26,saf45,Tue 15 August 2023 ,الإمارات ,دبي,United Arab Emirates ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,seen
27,saf45,Tue 15 August 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,partly cloudy,hazy,Seen,seen,seen,seen,seen
28,saf45,Tue 15 August 2023 ,Tucson,AZ,United States ,Before sunrise,partly cloudy,hazy,Not Seen,not sought,not seen,not seen,not sought
29,saf45,Tue 15 August 2023 ,جعيمة ,حضرموت ,Yemen ,Before sunrise,clear,superb,Seen by others,seen,seen,not sought,seen
30,saf45,Wed 16 August 2023 ,ديربلوط,سلفيت,Yemen ,Before sunrise,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
