,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,sha43,Thu 03 March 2022 ,الكويف,تبسة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
1,sha43,Thu 03 March 2022 ,كوينين,الوادي,Algeria ,After sunset,clear,superb,Seen,seen,seen,seen,not sought
2,sha43,Thu 03 March 2022 ,ڨمار,وادي سوف ,Algeria ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
3,sha43,Thu 03 March 2022 ,Sydney,NSW,Australia ,After sunset,totally cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
4,sha43,Thu 03 March 2022 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
5,sha43,Thu 03 March 2022 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,clear,clear,Seen,not seen,seen,not sought,not sought
6,sha43,Thu 03 March 2022 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
7,sha43,Thu 03 March 2022 ,مدينة سوكوتا Sukuta,المنطقة الغربية,Gambia ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not seen
8,sha43,Thu 03 March 2022 ,Szedres,Tolna,Hungary ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
9,sha43,Thu 03 March 2022 ,Surakarta,Central Java,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
10,sha43,Thu 03 March 2022 ,Medan,Indonesia,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
11,sha43,Thu 03 March 2022 ,Shahreza,Isfahan,Iran ,After sunset,totally cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
12,sha43,Thu 03 March 2022 ,الصدر,بغداد ,Iraq ,Before sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not sought,not sought
