hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-Jan,16/12/2009 12:02,16/12/2009,Nigeria,Bauchi,Bauchi,clear,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,16/12/2009,Saudi Arabia,Dammam,Eastern,superb,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,16/12/2009,South Africa,Cape Town,Western Province,superb,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,16/12/2009,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,16/12/2009,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,16/12/2009,United States,Blacksburg,Virginia,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Algeria,Ghardaia,Ghardaia,superb,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Bangladesh,Dhaka,Dhaka,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Germany,Moerlenbach,Hessen,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Nigeria,KADUNA,KADUNA,superb,clear,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Nigeria,Lagos,Lagos,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Nigeria,IKORODU,LAGOS,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Nigeria,Bauchi,Bauchi,clear,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Oman,Muscat,Muscat,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Pakistan,Karachi,Sindh,clear,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Saudi Arabia,Dammam,Eastern,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Senegal,Louga,Senegal,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Somalia,Garoowe,Puntland State Of Somalia,clear,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,Tanzania,Zanzibar,Zanzibar City,clear,clear,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,United Kingdom,Gloucester,Glos.,superb,clear,FALSE,FALSE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,United States,Blacksburg,Virginia,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Jan,16/12/2009 12:02,17/12/2009,United States,McDonald Obs,Texas,superb,clear,TRUE,TRUE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,Algeria,Ghardaia,Ghardaia,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,Norway,Oslo,Oslo,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,South Africa,Cape Town,Western Province,clear,clear,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,15/01/2010,United States,Blacksburg,Virginia,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,16/01/2010,Bangladesh,Dhaka,Dhaka,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-2,15/01/2010 07:11,16/01/2010,Germany,Munich,Bavaria,hazy,clear,TRUE,TRUE,FALSE,FALSE
