,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,hej42,Sat 10 July 2021 ,الكويف,تبسة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
1,hej42,Sat 10 July 2021 ,تافيلالت -بني يزجن,غرداية,Algeria ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
2,hej42,Sat 10 July 2021 ,كوينين,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
3,hej42,Sat 10 July 2021 ,ورقلة,عين البيضاء,Algeria ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
4,hej42,Sat 10 July 2021 ,ورقلة,عين البيضاء,Algeria ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
5,hej42,Sat 10 July 2021 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
6,hej42,Sat 10 July 2021 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
7,hej42,Sat 10 July 2021 ,Munich,Bavaria,Germany ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
8,hej42,Sat 10 July 2021 ,Accra,Greater Accra,Ghana ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
9,hej42,Sat 10 July 2021 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not seen,not seen
10,hej42,Sat 10 July 2021 ,Barus,North Sumatra,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not sought,not seen,not seen
11,hej42,Sat 10 July 2021 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
12,hej42,Sat 10 July 2021 ,الجيزة,عمان,Jordan ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
13,hej42,Sat 10 July 2021 ,إربد,إربد,Jordan ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
14,hej42,Sat 10 July 2021 ,Mombasa,Mombasa ,Kenya ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
15,hej42,Sat 10 July 2021 ,طرابلس,المدينة,Libya ,Before sunset,clear,hazy,Photographed,not sought,not seen,not seen,seen
16,hej42,Sat 10 July 2021 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not seen
17,hej42,Sat 10 July 2021 , ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
18,hej42,Sat 10 July 2021 ,مقيبلة,الشمال,Palestine ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not seen,seen
19,hej42,Sat 10 July 2021 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
20,hej42,Sat 10 July 2021 ,أملج,أملج,Saudi Arabia ,After sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
21,hej42,Sat 10 July 2021 ,الرياض,الرياض,Saudi Arabia ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not seen,not sought
22,hej42,Sat 10 July 2021 ,المهدية,المهدية,Tunisia ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
23,hej42,Sat 10 July 2021 ,حمام الأنف,بن عروس,Tunisia ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
24,hej42,Sat 10 July 2021 ,AKO,Abu Dhabi,United Arab Emirates ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not sought,not seen
25,hej42,Sat 10 July 2021 ,الإمارات ,دبي,United Arab Emirates ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not sought
26,hej42,Sat 10 July 2021 ,York,North Yorkshire,United Kingdom ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
27,hej42,Sat 10 July 2021 ,Blacksburg,Virginia,United States ,After sunset,totally cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
