Index,Original,New
0,"ارفود,الراشيدية,Morocco","Erfoud,Morocco"
1,"بنسليمان ,بنسليمان,Morocco","Ben Slimane,Morocco"
2,"Telok Kemang Observatory, Port Dickson,Negeri Sembilan,Malaysia","Port Dickson,Negeri Sembilan,Malaysia"
3,"المحمدية,سيدي موسى بن علي,Morocco","Sidi Moussa Ben Ali,Morocco"
4,"كاتماندو,باغمتي,Nepal", "Kathmandu,Nepal"
5,"مقيبلة,الشمال,Palestine","Not found"
6,"ABHA,Aseer,Saudi Arabia", "Abha,Aseer,Saudi Arabia"
7,"Abu Dhabi,Choose a,United Arab Emirates","Abu Dhabi,United Arab Emirates"
8,"طنجة,طنجة,Indonesia", "Tangier,Morocco"
9,"ڨمار,وادي سوف ,Algeria","Not found"
10,"Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina", "Sarajevo,Bosnia and Herzegovina"
11,"Telok Kemang Observatory,Negeri Sembilan,Malaysia", "Negeri Sembilan,Malaysia"
12,"Hafeet Mountain,Abu Dhabi,United Arab Emirates", "Abu Dhabi,United Arab Emirates"
13,"لورنس Lawrence,‏ماساتشوستس Massachusetts,United States", "Lawrence,Massachusetts,United States"
14,"المدينة المنورة ,المدينة المنورة ,Germany", "Ludwigshafen-Am-Rhein,Germany"
15,"كلغري,ألبرتة,Canada","Calgary, Canada"
16,"Hunjan village in the South of Shahreza ,Isfahan,Iran","Hunejan,Isfahan,Iran"
17,"Al-Fulaij,Muscat,Oman","Muscat,Oman"
18,"‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States","Lawrence,Massachusetts,United States"
19,"المدينة المنورة ,المدينة النبوية ,Saudi Arabia","Not found"
20,"المدينة المنورة, المدينة المنورة,United States","Not found"
21,"‏لورنس Lawrence,‏ماساتشوستس Massachusetts ,United States","Lawrence,Massachusetts,United States"
22,"‏ ‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States","Lawrence,Massachusetts,United States"
23,"ديربلوط,سلفيت,Palestine","Not found"
24,"Hafeet Mountain,Abu Dhabi,Saudi Arabia","Jebel Hafeet, Abu Dhabi,United Arab Emirates"
25,"تافيلالت بني يسجن,غرداية,Algeria","Not found"
26,"rabat,-- Select One --,Morocco","Rabat, Morocco"
27,"Daressalaam ,Tanzania,Tanzania","Dar es Salaam,Tanzania"
28,"سالم Salem,‏ماساتشوستس Massachusetts,United States","Salem,Massachusetts,United States"
29,"المدينة المنورة ,المدينة المنورة,Bahrain","Not found"
30,"Blacksburg,Virginia,Saudi Arabia","Blacksburg,Virginia,United States"
31,"تافيلالت - بني يزجن,غرداية,Algeria","Not found"
32,"Daressalaam,Tanzania,Tanzania","Dar es Salaam,Tanzania"
33,"المدينة المنورة ,المدينة المنورة ,United States","Not found"
34,"عيسى,الجنوبة,Bahrain","Not found"
35,"السويرقيه,مهد الذهب,Saudi Arabia","Not found"
36,"madina,Sewerqia,Saudi Arabia","Madinah, Saudi Arabia"
37,"Abu Dhabi,Abu Dhabi,Indonesia","Abu Dhabi,United Arab Emirates"
38,"تافيلالت بني يزجن,غرداية,Algeria","Not found"
39,"Blackburg,Virginia,United States","Blacksburg,Virginia,United States"
40,"قمار,وادي سوف ,Algeria","El Oued, Algeria"
41,"ڨمار,وادي سوف,Algeria","El Oued, Algeria"
42,"telok kemang observatory, port dickson,Negeri Sembilan,Malaysia","Port Dickson,Negeri Sembilan,Malaysia"
43,"Yibal Kuff,AlZahirah,Oman","Yibal Kuff,Al Zahirah,Oman"
44,"العفولة,الشمال,Palestine","Not found"
45,"المقيبلة,الشمال,Palestine","Muqeible, Israel"
46,"عين الباشا,السلط,Jordan","Not found"
47,"المحمدية,سيدي موسى ابن علي,Morocco","Not found"
48,"alfegra,madina,Saudi Arabia", "Madinah, Saudi Arabia"
49,"Daeressalaam,Tanzania,Tanzania","Dar es Salaam,Tanzania"
50,"Shawa,GD,Libya","Sha'wa',Ghadamis, Libya"
51,"جبل عبد الدائم - بني يزجن,ولاية غرداية,Algeria","Not found"
