,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,jua44,Thu 24 November 2022 ,كوينين,الوادي,Algeria ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
1,jua44,Thu 24 November 2022 ,Sydney,NSW,Australia ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
2,jua44,Thu 24 November 2022 ,Surakarta,Central Java,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not seen,not sought
3,jua44,Thu 24 November 2022 ,Medan,North Sumatera,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not seen,not seen
4,jua44,Thu 24 November 2022 ,Shahreza,Isfahan,Iran ,After sunset,clear,clear,Not Seen,not sought,not seen,not sought,not sought
5,jua44,Thu 24 November 2022 , انواكشوط ,تفرغ زينة ,Mauritania ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
6,jua44,Thu 24 November 2022 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not seen
7,jua44,Thu 24 November 2022 ,Kaduna ,Kaduna ,Nigeria ,After sunset,clear,hazy,Not Seen,not seen,not sought,not sought,not sought
8,jua44,Thu 24 November 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
9,jua44,Thu 24 November 2022 ,المهدية,المهدية,Tunisia ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
10,jua44,Thu 24 November 2022 ,Abu Dhabi,Please select,United Arab Emirates ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
11,jua44,Thu 24 November 2022 ,York,North Yorkshire ,United Kingdom ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
12,jua44,Thu 24 November 2022 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
13,jua44,Fri 25 November 2022 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
14,jua44,Fri 25 November 2022 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
15,jua44,Fri 25 November 2022 ,طنطا,الغربية,Egypt ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
16,jua44,Fri 25 November 2022 ,Tolna,Tolna,Hungary ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
17,jua44,Fri 25 November 2022 ,قم,قم,Iran ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
18,jua44,Fri 25 November 2022 ,Shahreza,Isfahan,Iran ,Before sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
19,jua44,Fri 25 November 2022 ,Milan,Lombardy,Italy ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
20,jua44,Fri 25 November 2022 ,Telok Kemang Observatory,Negeri Sembilan,Malaysia ,After sunset,partly cloudy,clear,Seen,seen,seen,seen,seen
21,jua44,Fri 25 November 2022 ,طنجة,طنجة,Morocco ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
22,jua44,Fri 25 November 2022 ,بنسليمان ,بنسليمان ,Morocco ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
23,jua44,Fri 25 November 2022 ,Kaduna ,Kaduna ,Nigeria ,After sunset,clear,hazy,Seen,seen,not sought,not sought,not sought
24,jua44,Fri 25 November 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
25,jua44,Fri 25 November 2022 , دبي,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,seen,seen,seen,seen
26,jua44,Fri 25 November 2022 ,Hunstanton,Norfolk,United Kingdom ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
27,jua44,Fri 25 November 2022 ,Blacksburg,Virginia,United States ,Before sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
28,jua44,Tue 22 November 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
29,jua44,Tue 22 November 2022 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
30,jua44,Tue 22 November 2022 ,Blacksburg,Virginia,United States ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
31,jua44,Wed 23 November 2022 ,عيسى,الجنوبية,Bahrain ,After sunrise,clear,superb,Photographed,not sought,not sought,not sought,seen
32,jua44,Wed 23 November 2022 ,Surakarta,Central Java,Indonesia ,Before sunrise,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
33,jua44,Wed 23 November 2022 ,قم,قم,Iran ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
34,jua44,Wed 23 November 2022 ,Irbid,Irbid,Jordan ,After sunrise,clear,clear,Photographed,not sought,not sought,not sought,seen
35,jua44,Wed 23 November 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
36,jua44,Wed 23 November 2022 ,دبي,دبي,Palestine ,Before sunrise,partly cloudy,clear,Not Seen,not seen,not seen,not seen,not seen
