,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,jut43,Mon 03 January 2022 ,قمار,الوادي,Algeria ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
1,jut43,Mon 03 January 2022 ,ڨمار,وادي سوف ,Algeria ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
2,jut43,Mon 03 January 2022 ,الكويف,تبسة,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
3,jut43,Mon 03 January 2022 ,حاسي بحبح ,الجلفة,Algeria ,After sunset,clear,superb,Seen,seen,not sought,not sought,seen
4,jut43,Mon 03 January 2022 ,كوينين,الوادي,Algeria ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
5,jut43,Mon 03 January 2022 ,جبل عبد الدايم,غرداية,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
6,jut43,Mon 03 January 2022 ,LAKEMBA,NSW,Australia ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
7,jut43,Mon 03 January 2022 ,القاهرة,القاهرة,Egypt ,After sunset,clear,hazy,Not Seen,not seen,not sought,not sought,not sought
8,jut43,Mon 03 January 2022 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen by others,not seen,not seen,not seen,not sought
9,jut43,Mon 03 January 2022 ,Medan,Jl. Denai,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not seen
10,jut43,Mon 03 January 2022 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,clear,Seen,not seen,seen,not sought,not sought
11,jut43,Mon 03 January 2022 ,irbid,إربد,Jordan ,Before sunset,clear,superb,Seen,not seen,not seen,seen,seen
12,jut43,Mon 03 January 2022 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,seen
13,jut43,Mon 03 January 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
14,jut43,Mon 03 January 2022 ,أملج,أملج,Saudi Arabia ,After sunset,partly cloudy,clear,Seen,not sought,not sought,seen,seen
15,jut43,Mon 03 January 2022 ,الإمارات ,دبي,United Arab Emirates ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
16,jut43,Mon 03 January 2022 ,York,North Yorkshire,United Kingdom ,Before sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
17,jut43,Mon 03 January 2022 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
18,jut43,Tue 04 January 2022 ,Medan,Indonesia,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not seen,not seen
19,jut43,Tue 04 January 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
20,jut43,Tue 04 January 2022 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
21,jut43,Tue 04 January 2022 ,الممدية,المهدية,Tunisia ,After sunset,clear,superb,Seen,seen,not sought,not sought,seen
22,jut43,Tue 04 January 2022 ,الإمارات ,دبي,United Arab Emirates ,After sunset,totally cloudy,hazy,Seen,seen,not sought,not sought,not sought
23,jut43,Tue 04 January 2022 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
24,jut43,Tue 04 January 2022 ,Blacksburg,Virginia,United States ,Before sunset,clear,clear,Seen,seen,not sought,not sought,not sought
25,jut43,Sat 01 January 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
26,jut43,Sat 01 January 2022 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
27,jut43,Sun 02 January 2022 ,كوينين,الوادي,Algeria ,Before sunrise,clear,superb,Not Seen,not sought,not sought,not sought,not sought
28,jut43,Sun 02 January 2022 ,Surakarta,Central Java,Indonesia ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
29,jut43,Sun 02 January 2022 ,ديربلوط,سلفيت,Indonesia ,Before sunrise,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
