,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,kea44,Sat 20 May 2023 ,العطف ,غرداية,Algeria ,Before sunset,partly cloudy,very hazy,Seen,seen,not sought,not sought,seen
1,kea44,Sat 20 May 2023 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
2,kea44,Sat 20 May 2023 ,Sydney,NSW,Australia ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
3,kea44,Sat 20 May 2023 ,عيسى,الجنوبية,Bahrain ,After sunset,partly cloudy,superb,Photographed,not sought,not sought,not sought,seen
4,kea44,Sat 20 May 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,clear,Seen,not seen,seen,not sought,not sought
5,kea44,Sat 20 May 2023 ,القاهرة,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
6,kea44,Sat 20 May 2023 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not sought,seen
7,kea44,Sat 20 May 2023 ,Shahreza,Isfahan,Iran ,After sunset,totally cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
8,kea44,Sat 20 May 2023 ,طرابلس,طرابلس,Libya ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
9,kea44,Sat 20 May 2023 ,"Telok Kemang Observatory, Port Dickson",Negeri Sembilan,Malaysia ,After sunset,partly cloudy,clear,Photographed,not seen,not seen,not seen,seen
10,kea44,Sat 20 May 2023 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,seen
11,kea44,Sat 20 May 2023 ,الرباط ,الرباط ,Morocco ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
12,kea44,Sat 20 May 2023 ,بنسليمان ,بنسليمان,Morocco ,After sunset,partly cloudy,hazy,Seen by others,not seen,not sought,not sought,not sought
13,kea44,Sat 20 May 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,hazy,Seen by others,not seen,not sought,not sought,not sought
14,kea44,Sat 20 May 2023 ,جدة,مكة المكرمة,Saudi Arabia ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
15,kea44,Sat 20 May 2023 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,clear,hazy,Seen,not seen,seen,not sought,not sought
16,kea44,Sat 20 May 2023 ,حلب,حلب,Syria ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
17,kea44,Sat 20 May 2023 ,إدلب,إدلب,Syria ,After sunset,partly cloudy,clear,Seen by others,seen,seen,not sought,not sought
18,kea44,Sat 20 May 2023 ,دبي,دبي,United Arab Emirates ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
19,kea44,Sat 20 May 2023 ,AKO,Abu Dhabi,United Arab Emirates ,Before sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
20,kea44,Sat 20 May 2023 ,Grimsby,Linconshir,United Kingdom ,After sunset,partly cloudy,clear,Seen,seen,seen,seen,seen
21,kea44,Sat 20 May 2023 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
22,kea44,Sat 20 May 2023 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not sought,not sought
23,kea44,Sat 20 May 2023 ,جعيمة /شبام,حضرموت,Yemen ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
24,kea44,Thu 18 May 2023 ,عجاجة,ورقلة,Algeria ,Before sunrise,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
25,kea44,Thu 18 May 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
26,kea44,Thu 18 May 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
27,kea44,Thu 18 May 2023 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
28,kea44,Thu 18 May 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
29,kea44,Thu 18 May 2023 ,العين,سويحان,United Arab Emirates ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
30,kea44,Thu 18 May 2023 ,سحيل جعيمة ,حضرموت,Yemen ,Before sunrise,clear,superb,Seen,seen,seen,not sought,seen
31,kea44,Fri 19 May 2023 ,عجاجة,ورقلة,Algeria ,Before sunrise,clear,clear,Not Seen,not seen,not sought,not sought,not sought
32,kea44,Fri 19 May 2023 ,ديربلوط,سلفيت,Algeria ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
