,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,muh42,Wed 19 August 2020 ,المدية ,المدية ,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
1,muh42,Wed 19 August 2020 ,باتنة,باتنة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
2,muh42,Wed 19 August 2020 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
3,muh42,Wed 19 August 2020 ,حاسي بحبح,الجلفة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
4,muh42,Wed 19 August 2020 ,المدية,المدية,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
5,muh42,Wed 19 August 2020 ,الكويف,تبسة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
6,muh42,Wed 19 August 2020 ,كوينين,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
7,muh42,Wed 19 August 2020 ,عيسى,الجنوبية,Bahrain ,After sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
8,muh42,Wed 19 August 2020 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
9,muh42,Wed 19 August 2020 ,كلغري,ألبرتة,Canada ,After sunset,partly cloudy,very hazy,Seen,not seen,seen,not sought,not sought
10,muh42,Wed 19 August 2020 ,Munich,Bavaria,Germany ,After sunset,partly cloudy,clear,Photographed,not sought,not seen,not sought,seen
11,muh42,Wed 19 August 2020 ,Munich,Bavaria,Germany ,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
12,muh42,Wed 19 August 2020 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not seen
13,muh42,Wed 19 August 2020 ,Surakarta,Central Java,Indonesia ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
14,muh42,Wed 19 August 2020 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not seen
15,muh42,Wed 19 August 2020 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
16,muh42,Wed 19 August 2020 ,Hunjan village in the South of Shahreza ,Isfahan,Iran ,After sunset,clear,clear,Not Seen,not sought,not seen,not sought,not sought
17,muh42,Wed 19 August 2020 ,طنجة,طنجة-أصيلة,Morocco ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
18,muh42,Wed 19 August 2020 ,تاوريرت,تاوريرت,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
19,muh42,Wed 19 August 2020 ,الناظور,الشرق,Morocco ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
20,muh42,Wed 19 August 2020 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
