,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,raa44,Mon 26 September 2022 ,قمار,الوادي,Algeria ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
1,raa44,Mon 26 September 2022 ,كوينين,الوادي,Algeria ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
2,raa44,Mon 26 September 2022 ,باتنة,باتنة,Algeria ,After sunset,clear,clear,Not Seen,not seen,not seen,not sought,not sought
3,raa44,Mon 26 September 2022 ,Sydney,NSW,Australia ,After sunset,totally cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
4,raa44,Mon 26 September 2022 ,سدني,NSW,Australia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
5,raa44,Mon 26 September 2022 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
6,raa44,Mon 26 September 2022 ,طنطا ,الغربية,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
7,raa44,Mon 26 September 2022 ,القاهرة,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
8,raa44,Mon 26 September 2022 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
9,raa44,Mon 26 September 2022 ,Medan,North Sumatera,Indonesia ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not seen,not seen
10,raa44,Mon 26 September 2022 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
11,raa44,Mon 26 September 2022 ,Milan,Lombardy,Italy ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
12,raa44,Mon 26 September 2022 ,تاوريرت,تاوريرت,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
13,raa44,Mon 26 September 2022 ,Kaduna ,Kaduna ,Nigeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
14,raa44,Mon 26 September 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
15,raa44,Mon 26 September 2022 ,Dhahran,Eastern Province,Saudi Arabia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
16,raa44,Mon 26 September 2022 ,المهدية,المهدية,Tunisia ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
17,raa44,Mon 26 September 2022 ,نزوى ,دبي,United Arab Emirates ,After sunset,clear,hazy,Not Seen,not seen,not sought,not seen,not seen
18,raa44,Mon 26 September 2022 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Seen,not sought,seen,not sought,not sought
19,raa44,Tue 27 September 2022 ,باتنة,باتنة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
