,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,raj43,Tue 01 February 2022 ,بوسعادة,المسيلة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
1,raj43,Tue 01 February 2022 ,الكويف,تبسة,Algeria ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not sought,not sought
2,raj43,Tue 01 February 2022 ,كوينين,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
3,raj43,Tue 01 February 2022 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
4,raj43,Tue 01 February 2022 ,Sydney,NSW,Australia ,After sunset,totally cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
5,raj43,Tue 01 February 2022 ,LAKEMBA,NSW,Australia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
6,raj43,Tue 01 February 2022 ,Surakarta,Central Java,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
7,raj43,Tue 01 February 2022 ,Shahreza,Isfahan,Iran ,After sunset,totally cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
8,raj43,Tue 01 February 2022 ,irbid,إربد,Jordan ,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
9,raj43,Tue 01 February 2022 ,انواكشوط ,انواكشوط ,Mauritania ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
10,raj43,Tue 01 February 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
11,raj43,Tue 01 February 2022 ,أملج,أملج,Saudi Arabia ,After sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
12,raj43,Tue 01 February 2022 ,المهدية,المهدية,Tunisia ,After sunset,partly cloudy,clear,Not Seen,not sought,not sought,not sought,not sought
13,raj43,Tue 01 February 2022 ,AKO,Abu Dhabi,United Arab Emirates ,Before sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not seen
14,raj43,Tue 01 February 2022 ,الإمارات ,دبي,United Arab Emirates ,After sunset,clear,superb,Not Seen,not sought,not sought,not sought,not sought
15,raj43,Tue 01 February 2022 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
16,raj43,Tue 01 February 2022 ,‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,After sunset,totally cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
17,raj43,Tue 01 February 2022 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
18,raj43,Wed 02 February 2022 ,حاسي بحبح ,الجلفة ,Algeria ,After sunset,clear,superb,Seen,seen,not sought,not sought,seen
19,raj43,Wed 02 February 2022 ,عيسى,الجنوبية,Bahrain ,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
20,raj43,Wed 02 February 2022 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
21,raj43,Wed 02 February 2022 ,Sukuta,المنطقة الغربية,Gambia ,After sunset,clear,hazy,Seen,seen,not sought,not sought,seen
22,raj43,Wed 02 February 2022 ,Munich,Bavaria,Germany ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
23,raj43,Wed 02 February 2022 ,Shahreza,Isfahan,Iran ,Before sunset,clear,clear,Seen,seen,seen,not sought,not sought
24,raj43,Wed 02 February 2022 ,قم,قم,Iran ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
25,raj43,Wed 02 February 2022 ,الصدر,بغداد,Iraq ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
26,raj43,Wed 02 February 2022 ,Milan,Lombardy,Italy ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
27,raj43,Wed 02 February 2022 ,"Telok Kemang Observatory, Port Dickson",Negeri Sembilan,Malaysia ,Before sunset,partly cloudy,clear,Photographed,not seen,not seen,not seen,seen
28,raj43,Wed 02 February 2022 ,نواكشوط,عرفات,Mauritania ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
29,raj43,Wed 02 February 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
30,raj43,Wed 02 February 2022 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
31,raj43,Wed 02 February 2022 ,Valencia,Valencia,Spain ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
32,raj43,Wed 02 February 2022 ,المهدية,المهدية,Tunisia ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
33,raj43,Wed 02 February 2022 ,دبي,دبي,United Arab Emirates ,After sunset,partly cloudy,clear,Seen,seen,seen,seen,seen
34,raj43,Wed 02 February 2022 ,الإمارات ,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,seen,not sought,seen,not sought
35,raj43,Wed 02 February 2022 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Seen by others,seen,not seen,not sought,not sought
36,raj43,Sun 30 January 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
37,raj43,Sun 30 January 2022 ,الإمارات ,دبي,United Arab Emirates ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
38,raj43,Sun 30 January 2022 ,Christiansburg,Virginia,United States ,Before sunrise,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
39,raj43,Mon 31 January 2022 ,كوينين,الوادي,Algeria ,Before sunrise,clear,clear,Not Seen,not seen,not seen,not sought,not sought
40,raj43,Mon 31 January 2022 ,Surakarta,Central Java,Indonesia ,Before sunrise,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
41,raj43,Mon 31 January 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
42,raj43,Mon 31 January 2022 ,المهدية,المهدية,Tunisia ,Before sunrise,clear,superb,Not Seen,not sought,not sought,not sought,not sought
43,raj43,Mon 31 January 2022 ,الإمارات ,دبي,Tunisia ,Before sunrise,clear,superb,Not Seen,not seen,not sought,not seen,not sought
