,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,ram44,Tue 21 March 2023 ,الصليبية,الجهراء,Kuwait ,Before sunset,clear,clear,Not Seen,not seen,not seen,not seen,not sought
1,ram44,Wed 22 March 2023 ,سطيف,سطيف,Algeria ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
2,ram44,Wed 22 March 2023 ,ڤمار,وادي سوف ,Algeria ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
3,ram44,Wed 22 March 2023 ,بئر ربعة شمال,ورقلة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
4,ram44,Wed 22 March 2023 ,باتنـــــــــة,باتنــــة,Algeria ,After sunset,clear,hazy,Seen,seen,seen,not sought,seen
5,ram44,Wed 22 March 2023 ,عجاجة,ورقلة,Algeria ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
6,ram44,Wed 22 March 2023 ,عين فكرون,أم البواقي,Algeria ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
7,ram44,Wed 22 March 2023 ,معسكر ,معسكر ,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
8,ram44,Wed 22 March 2023 ,الكويف,تبسة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,seen
9,ram44,Wed 22 March 2023 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
10,ram44,Wed 22 March 2023 ,Sydney,NSW,Australia ,After sunset,totally cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
11,ram44,Wed 22 March 2023 ,كرباباد,العاصمة,Bahrain ,After sunset,clear,clear,Seen,not seen,not sought,seen,seen
12,ram44,Wed 22 March 2023 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
13,ram44,Wed 22 March 2023 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
14,ram44,Wed 22 March 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
15,ram44,Wed 22 March 2023 ,Kuala Tutong,Tutong,Brunei Darussalam ,After sunset,partly cloudy,clear,Seen,not seen,not sought,seen,seen
16,ram44,Wed 22 March 2023 ,القاهرة,القاهرة,Egypt ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
17,ram44,Wed 22 March 2023 ,Munich,Bavaria,Germany ,After sunset,partly cloudy,clear,Seen,not seen,seen,not sought,not sought
18,ram44,Wed 22 March 2023 ,Munich,Bavaria,Germany ,Before sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
19,ram44,Wed 22 March 2023 ,Tolna,Tolna,Hungary ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
20,ram44,Wed 22 March 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen by others,not seen,not seen,not seen,not seen
21,ram44,Wed 22 March 2023 ,Barus,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Seen,not seen,not seen,seen,seen
22,ram44,Wed 22 March 2023 ,Tapanuli Tengah,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Seen,not seen,not sought,seen,seen
23,ram44,Wed 22 March 2023 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
24,ram44,Wed 22 March 2023 ,الحسينية,بغداد,Iraq ,After sunset,partly cloudy,hazy,Seen,seen,not sought,seen,not sought
25,ram44,Wed 22 March 2023 ,شط العرب,البصرة,Iraq ,After sunset,partly cloudy,clear,Seen by others,seen,not sought,not sought,seen
26,ram44,Wed 22 March 2023 ,الموصل,نينوى,Iraq ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not seen
27,ram44,Wed 22 March 2023 ,بغداد الجديدة ,بغداد ,Iraq ,After sunset,partly cloudy,clear,Seen by others,seen,not sought,not sought,not sought
28,ram44,Wed 22 March 2023 ,الأبرق السالمي,الجهراء,Kuwait ,After sunset,partly cloudy,hazy,Seen,seen,seen,seen,seen
