,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,rat45,Sun 15 October 2023 ,عيسى,الجنوبية,Bahrain ,After sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
1,rat45,Sun 15 October 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,Before sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
2,rat45,Sun 15 October 2023 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not sought,seen
3,rat45,Sun 15 October 2023 ,Tapanuli Tengah,North Sumatera,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not seen,not seen
4,rat45,Sun 15 October 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen by others,not seen,not seen,not seen,not sought
5,rat45,Sun 15 October 2023 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
6,rat45,Sun 15 October 2023 ,تاجوراء,طرابلس,Libya ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
7,rat45,Sun 15 October 2023 ,انواكشوط ,تفرغ زينة ,Mauritania ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
8,rat45,Sun 15 October 2023 ,الناظور ,الشرق,Morocco ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
9,rat45,Sun 15 October 2023 ,طنجة,طنجة,Morocco ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not seen
10,rat45,Sun 15 October 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
11,rat45,Sun 15 October 2023 ,المهدية,المهدية,Tunisia ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
12,rat45,Sun 15 October 2023 ,Khatim,Abu Dhabi,United Arab Emirates ,Before sunset,clear,hazy,Photographed,not sought,not sought,not sought,seen
13,rat45,Sun 15 October 2023 ,الإمارات,دبي,United Arab Emirates ,After sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not sought
14,rat45,Sun 15 October 2023 ,Hunstonton,Norfolk,United Kingdom ,Before sunset,clear,superb,Photographed,not seen,not seen,not seen,seen
15,rat45,Sun 15 October 2023 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
16,rat45,Sun 15 October 2023 ,جعيمة,حضرموت,Yemen ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
17,rat45,Mon 16 October 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
18,rat45,Mon 16 October 2023 ,طنطا,الغربية,Egypt ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
19,rat45,Mon 16 October 2023 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
20,rat45,Mon 16 October 2023 ,Nagydorog,Tolna,Hungary ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
21,rat45,Mon 16 October 2023 ,Surakarta,Central Java,Indonesia ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
22,rat45,Mon 16 October 2023 ,Tripoli,طرابلس,Libya ,After sunset,clear,clear,Not Seen,seen,not sought,not sought,not sought
23,rat45,Mon 16 October 2023 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,seen
24,rat45,Mon 16 October 2023 ,بنسليمان ,بنسليمان,Morocco ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
25,rat45,Mon 16 October 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
26,rat45,Mon 16 October 2023 ,الإمارات,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
27,rat45,Mon 16 October 2023 ,دبي,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,seen,seen,seen,seen
28,rat45,Mon 16 October 2023 ,Lancaster,Lancashire,United Kingdom ,Before sunset,partly cloudy,very hazy,Seen,not seen,seen,seen,seen
29,rat45,Mon 16 October 2023 ,Blacksburg,Virginia,United States ,Before sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
30,rat45,Mon 16 October 2023 ,جعيمة,حضرموت,Yemen ,After sunset,clear,clear,Seen,seen,not sought,not sought,seen
31,rat45,Fri 13 October 2023 ,عيسى,الجنوبية,Bahrain ,After sunrise,clear,clear,Seen,seen,not sought,not sought,seen
32,rat45,Fri 13 October 2023 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,Before sunrise,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
33,rat45,Fri 13 October 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
34,rat45,Fri 13 October 2023 ,تاجوراء,طرابلس,Libya ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
35,rat45,Fri 13 October 2023 ,طنجة,طنجة,Morocco ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,seen
36,rat45,Fri 13 October 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,partly cloudy,clear,Seen,seen,not seen,not sought,not sought
37,rat45,Fri 13 October 2023 ,الإمارات,دبي,United Arab Emirates ,Before sunrise,clear,superb,Seen,seen,not sought,seen,not sought
38,rat45,Fri 13 October 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,not sought,seen,seen
39,rat45,Fri 13 October 2023 ,ِAlKhatim,Abu Dhabi,United Arab Emirates ,After sunrise,clear,clear,Photographed,not sought,not sought,not sought,seen
40,rat45,Fri 13 October 2023 ,جعيمة ,حضرموت,Yemen ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
41,rat45,Sat 14 October 2023 ,الإمارات,دبي,United Arab Emirates ,Before sunrise,clear,hazy,Not Seen,not seen,not sought,not seen,not sought
42,rat45,Sat 14 October 2023 ,جعيمة,حضرموت,United Arab Emirates ,Before sunrise,clear,clear,Not Seen,not sought,not seen,not sought,not sought
