,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,saf44,Sat 27 August 2022 ,طنطا,الغربية,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not seen
1,saf44,Sat 27 August 2022 ,Medan,North Sumatera,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not seen,not sought
2,saf44,Sat 27 August 2022 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
3,saf44,Sat 27 August 2022 ,الناظور ,الشرق,Morocco ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
4,saf44,Sat 27 August 2022 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not seen
5,saf44,Sat 27 August 2022 ,Kaduna,Kaduna,Nigeria ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
6,saf44,Sat 27 August 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
7,saf44,Sat 27 August 2022 ,Blacksburg,virginia,United States ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
8,saf44,Sun 28 August 2022 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,superb,Photographed,not sought,not sought,not sought,seen
9,saf44,Sun 28 August 2022 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
10,saf44,Sun 28 August 2022 ,Siwa,Matrooh,Egypt ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
11,saf44,Sun 28 August 2022 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
12,saf44,Sun 28 August 2022 ,E73 road,Tolna,Hungary ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not sought
13,saf44,Sun 28 August 2022 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen,not sought,seen,seen,seen
14,saf44,Sun 28 August 2022 ,Surakarta,Central Java,Indonesia ,Before sunset,partly cloudy,hazy,Photographed,not seen,not seen,not seen,seen
15,saf44,Sun 28 August 2022 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,hazy,Photographed,not seen,not sought,not sought,seen
16,saf44,Sun 28 August 2022 ,Medan,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Seen,seen,not sought,seen,seen
17,saf44,Sun 28 August 2022 ,Poodeh Village Cemetery ,Isfahan,Iran ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
18,saf44,Sun 28 August 2022 ,خمینی شهر ,اصفهان ,Iran ,After sunset,clear,superb,Seen,seen,seen,not sought,seen
19,saf44,Sun 28 August 2022 ,الحسينية,بغداد,Iraq ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not seen,not seen
20,saf44,Sun 28 August 2022 ,Chioggia,Venetia,Italy ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
21,saf44,Sun 28 August 2022 ,milan,lombardy,Italy ,After sunset,partly cloudy,hazy,Seen,not seen,seen,not sought,not seen
22,saf44,Sun 28 August 2022 ,benslimane,benslimane,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
23,saf44,Sun 28 August 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
24,saf44,Sun 28 August 2022 ,الهفوف,الأحساء,Saudi Arabia ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
25,saf44,Sun 28 August 2022 ,دبي,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,not seen,seen,seen,seen
26,saf44,Sun 28 August 2022 ,Abu Dhabi,Abu Dhabi,United Arab Emirates ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
27,saf44,Sun 28 August 2022 ,نزوى,دبي,United Arab Emirates ,After sunset,clear,hazy,Seen,seen,seen,seen,not sought
28,saf44,Sun 28 August 2022 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,very hazy,Seen,seen,seen,not sought,not sought
29,saf44,Fri 26 August 2022 ,الكويف,تبسة,Algeria ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
30,saf44,Fri 26 August 2022 ,Debrecen,Hajdú-Bihar County,Hungary ,Before sunrise,clear,superb,Seen,seen,seen,seen,seen
31,saf44,Fri 26 August 2022 ,Surakarta,Central Java,Indonesia ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
32,saf44,Fri 26 August 2022 ,خمینی شهر ,اصفهان ,Iran ,Before sunrise,clear,superb,Seen,seen,seen,not sought,seen
33,saf44,Fri 26 August 2022 ,Chioggia,Venetia,Italy ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
34,saf44,Fri 26 August 2022 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
35,saf44,Fri 26 August 2022 ,الإمارات ,دبي,United Arab Emirates ,Before sunrise,clear,superb,Seen,seen,not sought,seen,not sought
36,saf44,Fri 26 August 2022 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
37,saf44,Sat 27 August 2022 ,ديربلوط,سلفيت,United Arab Emirates ,Before sunrise,clear,clear,Not Seen,not seen,not sought,not sought,not sought
