,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,sha42,Sat 13 March 2021 ,قمار,الوادي,Algeria ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
1,sha42,Sat 13 March 2021 ,باتنة,باتنة,Algeria ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
2,sha42,Sat 13 March 2021 ,كوينين,الوادي,Algeria ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
3,sha42,Sat 13 March 2021 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
4,sha42,Sat 13 March 2021 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not seen
5,sha42,Sat 13 March 2021 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
6,sha42,Sat 13 March 2021 ,قم,قم,Iran ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
7,sha42,Sat 13 March 2021 ,Shahreza,Isfahan,Iran ,After sunset,clear,clear,Not Seen,not sought,not seen,not sought,not sought
8,sha42,Sat 13 March 2021 ,تاوريرت,تاوريرت,Morocco ,After sunset,clear,superb,Not Seen,not sought,not sought,not sought,not sought
9,sha42,Sat 13 March 2021 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
10,sha42,Sat 13 March 2021 ,الناظور,الشرق,Morocco ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
11,sha42,Sat 13 March 2021 ,طنجة,طنجة,Morocco ,After sunset,clear,clear,Not Seen,not seen,not seen,not sought,not sought
12,sha42,Sat 13 March 2021 ,المدينة المنورة ,المدينة المنورة,Saudi Arabia ,After sunset,clear,very hazy,Not Seen,not seen,not sought,not sought,not sought
13,sha42,Sun 14 March 2021 ,تافيلالت بني يزجن,غرداية,Algeria ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
14,sha42,Sun 14 March 2021 ,حاسي بحبح,الجلفة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
15,sha42,Sun 14 March 2021 ,الوادي,قمار,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
16,sha42,Sun 14 March 2021 ,كوينين,الوادي,Algeria ,After sunset,clear,hazy,Seen,seen,seen,seen,not sought
17,sha42,Sun 14 March 2021 ,الكويف,تبسة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
18,sha42,Sun 14 March 2021 ,باتنة,باتنة,Algeria ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
19,sha42,Sun 14 March 2021 ,عيسى,الجنوبية,Bahrain ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
20,sha42,Sun 14 March 2021 ,عيسى,الجنوبية,Bahrain ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
