,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,shw42,Wed 12 May 2021 ,باتنة,باتنة,Algeria ,After sunset,clear,clear,Photographed,not seen,not seen,not sought,seen
1,shw42,Wed 12 May 2021 ,بني يزقن,غرداية,Algeria ,After sunset,clear,clear,Seen,not seen,seen,not sought,not sought
2,shw42,Wed 12 May 2021 ,الاغواط,الاغواط,Algeria ,After sunset,partly cloudy,superb,Not Seen,not seen,not seen,not sought,not sought
3,shw42,Wed 12 May 2021 ,ڨمار,وادي سوف ,Algeria ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
4,shw42,Wed 12 May 2021 ,كوينين,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
5,shw42,Wed 12 May 2021 ,عين فكرون,أم البواقي,Algeria ,After sunset,clear,clear,Photographed,not seen,not seen,not sought,seen
6,shw42,Wed 12 May 2021 ,معسكر ,معسكر ,Algeria ,After sunset,clear,hazy,Not Seen,not seen,not sought,not sought,not sought
7,shw42,Wed 12 May 2021 ,Sydney,NSW,Australia ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
8,shw42,Wed 12 May 2021 ,مدينة عيسى,الجنوبية,Bahrain ,After sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
9,shw42,Wed 12 May 2021 ,Tutong,Kg Keriam,Brunei Darussalam ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not seen,not seen
10,shw42,Wed 12 May 2021 ,القاهرة,القاهرة,Egypt ,After sunset,clear,hazy,Not Seen,not seen,not sought,not sought,not sought
11,shw42,Wed 12 May 2021 ,Medan,Sumatera Utara,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not seen,not sought
12,shw42,Wed 12 May 2021 ,Surakarta,Central Java,Indonesia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not seen,not seen,not seen
13,shw42,Wed 12 May 2021 ,Surakarta,Central Java,Indonesia ,Before sunset,partly cloudy,hazy,Seen by others,not sought,not sought,not sought,not seen
14,shw42,Wed 12 May 2021 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
15,shw42,Wed 12 May 2021 ,قم,قم,Iran ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
16,shw42,Wed 12 May 2021 ,إربد,إربد,Jordan ,After sunset,clear,superb,Not Seen,not seen,not seen,not seen,not seen
17,shw42,Wed 12 May 2021 ,عين الباشا,السلط,Jordan ,After sunset,clear,clear,Not Seen,not seen,not seen,not seen,not seen
18,shw42,Wed 12 May 2021 ,وادي رم,العقبة,Jordan ,After sunset,clear,clear,Seen,not seen,not sought,seen,seen
19,shw42,Wed 12 May 2021 ,انواكشوط,عرفات,Mauritania ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
20,shw42,Wed 12 May 2021 ,بنسليمان ,بنسليمان,Morocco ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
21,shw42,Wed 12 May 2021 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
22,shw42,Wed 12 May 2021 ,المحمدية,سيدي موسى ابن علي,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
23,shw42,Wed 12 May 2021 ,الخليل,الخليل,Palestine ,After sunset,clear,clear,Not Seen,not sought,not sought,not seen,not sought
24,shw42,Wed 12 May 2021 ,أملج,أملج,Saudi Arabia ,Before sunset,clear,hazy,Photographed,not sought,not sought,not seen,seen
25,shw42,Wed 12 May 2021 ,alfegra,madina,Saudi Arabia ,After sunset,clear,hazy,Photographed,not seen,not seen,not seen,seen
26,shw42,Wed 12 May 2021 ,Daeressalaam,Tanzania,Tanzania ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
27,shw42,Wed 12 May 2021 ,حمام الأنف,بن عروس,Tunisia ,After sunset,clear,clear,Seen,not seen,seen,not sought,not sought
