Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
0,2459022.3026,35.07475,3.02705,0.524,2459022.29542,2459022.31159,23.28333,1.6669,297.72052,-2.6564,301.26523,0.00258,1.01379,5.59008,4.3233,3.54471,0.00238,56.78226,0.07357,0.07361,-0.70525,-0.70523,0,Not_seen,Not_seen,Not_seen,ICOP23
1,2459022.2889,33.49162,6.79779,0.51,2459022.28194,2459022.2976,22.55,1.64918,297.24503,-2.64675,300.52618,0.00258,1.01379,5.40509,4.29592,3.28115,0.00222,56.77528,0.06878,0.06881,-0.71097,-0.71095,0,Not_seen,Not_seen,Not_seen,ICOP23
2,2459022.28866,33.40379,6.82645,0.51,2459022.2817,2459022.29735,22.53333,1.65148,297.21784,-2.64772,300.48806,0.00258,1.01379,5.40108,4.2992,3.27022,0.00222,56.77508,0.06868,0.06871,-0.71071,-0.71069,0,Not_seen,Not_seen,Not_seen,ICOP23
3,2459022.15877,32.0116,51.86517,0.38,2459022.15405,2459022.16466,15.28333,0.9644,297.20915,-2.09385,299.48273,0.00258,1.01377,3.81055,3.05824,2.27358,0.00111,56.71942,0.03416,0.03417,-0.85637,-0.85636,0,Not_seen,Not_seen,Not_seen,ICOP23
4,2459022.31963,35.17399,-2.92812,0.541,2459022.31215,2459022.32898,24.23333,1.7556,297.69376,-2.72677,301.373,0.00258,1.01379,5.79833,4.48237,3.67924,0.00256,56.78893,0.07916,0.0792,-0.68588,-0.68585,0,Not_seen,Not_seen,Not_seen,ICOP23
5,2459022.32896,35.77743,-5.80323,0.55,2459022.32133,2459022.33851,24.73333,1.78015,297.87422,-2.74727,301.68833,0.00258,1.0138,5.91915,4.52742,3.81411,0.00267,56.79327,0.0825,0.08254,-0.6793,-0.67927,0,Not_seen,Not_seen,Not_seen,ICOP23
6,2459022.31632,31.43499,-4.23283,0.538,2459022.30888,2459022.32562,24.11667,1.87526,296.55046,-2.8322,299.79353,0.00258,1.01379,5.71586,4.70746,3.24307,0.00249,56.78337,0.07692,0.07696,-0.66476,-0.66473,0.5,Not_seen,Not_seen,Not_seen,ICOP23
7,2459022.31806,34.40882,-2.89807,0.539,2459022.3106,2459022.32737,24.15,1.77708,297.43988,-2.74558,301.02416,0.00258,1.01379,5.77008,4.52266,3.58428,0.00253,56.78742,0.07839,0.07843,-0.68233,-0.6823,0,Not_seen,Not_seen,Not_seen,ICOP23
8,2459022.32849,33.61687,-7.12304,0.55,2459022.32084,2459022.33804,24.76667,1.86486,297.14856,-2.81792,300.71877,0.00258,1.01379,5.88786,4.68279,3.57021,0.00264,56.79035,0.08162,0.08167,-0.66431,-0.66428,0,Not_seen,Not_seen,Not_seen,ICOP23
9,2459021.60162,32.22288,-110.97485,29.366,2459021.60668,2459021.5953,-16.38333,-2.19607,298.8176,0.52405,297.66961,0.0026,1.01372,2.95236,2.72012,-1.14799,0.00066,56.37791,0.02039,0.02037,-0.89884,-0.89885,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,ICOP23
10,2459021.52477,37.22966,-80.41368,29.289,2459021.53141,2459021.51647,-21.51667,-2.53885,301.10179,0.81462,299.25802,0.0026,1.01371,3.82669,3.35347,-1.84377,0.00111,56.32134,0.03421,0.03419,-0.82682,-0.82683,0.5,Not_seen,Not_seen,Not_seen,ICOP23
11,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
12,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
13,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
14,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
15,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
16,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
17,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
18,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
19,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
20,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
21,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
22,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
23,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
24,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
25,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
26,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
27,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
28,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
29,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
30,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
31,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
32,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
33,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
34,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
35,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
36,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
37,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
38,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
39,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
40,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
41,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
42,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
43,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
44,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
45,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
46,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
47,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
48,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
49,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
50,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
51,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
52,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
53,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
54,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
55,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
56,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
57,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
58,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
59,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
60,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
61,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
62,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
63,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
64,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
65,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
66,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
67,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
68,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
69,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
70,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
71,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
72,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
73,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
