Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
0,2457309.224,53.95763,-1.08271,0.72,2457309.217,2457309.232,21.25,1.0731,252.63669,-2.19904,259.67487,0.00271,0.99508,7.76046,3.27214,7.03818,0.00458,54.15168,0.13512,0.13516,-0.77237,-0.77235,1,Not_seen,Not_seen,Not_seen,ICOUK
1,2457339.19,53.95763,-1.08271,0.949,2457339.174,2457339.21,51.21667,2.93009,235.97254,-3.80413,244.70058,0.00266,0.98725,11.01981,6.73422,8.72803,0.00922,55.07029,0.27665,0.27688,-0.34076,-0.34062,0.5,Not_seen,Not_seen,Not_seen,ICOUK
2,2457398.188,53.95763,-1.08271,0.625,2457398.17,2457398.211,59.91667,3.36351,234.01106,-4.02231,237.26745,0.00252,0.98095,8.0709,7.38583,3.25639,0.00495,58.06216,0.15669,0.15684,-0.34782,-0.34772,0.5,Not_seen,Not_seen,Not_seen,ICOUK
3,2457428.24,53.58333,-2.43333,1.13,2457428.213,2457428.275,88.48333,5.9634,246.17414,-6.30098,253.74311,0.00244,0.98427,14.40433,12.26438,7.56896,0.01572,59.64383,0.51083,0.51175,0.34796,0.34848,1,Not_seen,Not_seen,Not_seen,ICOUK
4,2457428.238,52.6386,-1.13169,1.128,2457428.211,2457428.272,87.06667,6.02324,246.74294,-6.34866,254.06088,0.00244,0.98427,14.36689,12.3719,7.31794,0.01564,59.63664,0.50813,0.50905,0.35719,0.35771,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOUK
5,2457457.263,52.6386,-1.13169,0.684,2457457.249,2457457.281,45.71667,3.06525,263.04825,-3.9043,268.33129,0.0024,0.99075,8.74353,6.96955,5.28304,0.00581,60.86156,0.1927,0.19288,-0.36756,-0.36745,1,Not_seen,Not_seen,Not_seen,ICOUK
6,2457457.261,51.87967,-0.41748,0.682,2457457.247,2457457.279,45.25,3.09221,263.17229,-3.92596,268.3347,0.0024,0.99075,8.71037,7.01817,5.16242,0.00577,60.85974,0.19124,0.19142,-0.36358,-0.36347,0.5,Not_seen,Not_seen,Not_seen,ICOUK
7,2457457.261,51.39822,-0.19837,0.681,2457457.247,2457457.278,45,3.11294,263.24948,-3.94293,268.34037,0.0024,0.99075,8.69875,7.05586,5.09089,0.00575,60.85847,0.19073,0.19091,-0.36013,-0.36002,1,Not_seen,Not_seen,Not_seen,ICOUK
8,2457457.263,53.95763,-1.08271,0.683,2457457.248,2457457.28,46.25,2.9926,262.82919,-3.84621,268.29021,0.0024,0.99075,8.74957,6.83881,5.46102,0.00582,60.86555,0.19298,0.19316,-0.38047,-0.38036,1,Not_seen,Not_seen,Not_seen,ICOUK
9,2457487.318,53.58333,-2.43333,1.344,2457487.291,2457487.353,89.68333,6.24688,278.23448,-6.4451,292.14456,0.0024,0.99931,18.80913,12.69197,13.91008,0.0267,60.83045,0.88505,0.88675,0.59479,0.59569,1,Not_seen,Not_seen,Not_seen,ICOUK
10,2457487.318,53.58333,-2.43333,1.344,2457487.291,2457487.353,89.68333,6.24688,278.23448,-6.4451,292.14456,0.0024,0.99931,18.80913,12.69197,13.91008,0.0267,60.83045,0.88505,0.88675,0.59479,0.59569,1,Not_seen,Not_seen,Not_seen,ICOUK
11,2457487.309,51.38333,-0.1,1.334,2457487.282,2457487.343,87.88333,6.48341,277.75275,-6.64577,291.02347,0.0024,0.99931,18.64712,13.12918,13.27072,0.02625,60.8058,0.86965,0.87138,0.63039,0.63131,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOUK
12,2457516.342,53.58333,-2.43333,1.03,2457516.327,2457516.36,47.4,2.8161,291.76539,-3.44792,305.30108,0.00241,1.007,14.90854,6.26402,13.53568,0.01683,60.75818,0.55723,0.55771,-0.22596,-0.22569,1,Not_seen,Not_seen,Not_seen,ICOUK
13,2457516.33,51.38333,-0.1,1.018,2457516.315,2457516.348,47.86667,3.06654,290.42857,-3.66249,303.51443,0.00241,1.00699,14.70775,6.72903,13.08586,0.01638,60.75086,0.54234,0.54285,-0.18781,-0.18752,0.5,Not_seen,Not_seen,Not_seen,ICOUK
14,2457516.332,51.87967,-0.41748,1.02,2457516.317,2457516.35,47.73333,3.00778,290.71269,-3.61306,303.89443,0.00241,1.00699,14.74433,6.62083,13.18174,0.01646,60.75308,0.54504,0.54555,-0.19711,-0.19683,0.5,Not_seen,Not_seen,Not_seen,ICOUK
15,2457516.341,54.23298,-1.34411,1.028,2457516.326,2457516.359,46.86667,2.71338,292.22231,-3.36222,305.83694,0.00241,1.007,14.90272,6.07559,13.61463,0.01682,60.76413,0.55685,0.55732,-0.24501,-0.24475,1,Not_seen,Not_seen,Not_seen,ICOUK
16,2457516.341,54.23298,-1.34411,1.028,2457516.326,2457516.359,46.86667,2.71338,292.22231,-3.36222,305.83694,0.00241,1.007,14.90272,6.07559,13.61463,0.01682,60.76413,0.55685,0.55732,-0.24501,-0.24475,1,Not_seen,Not_seen,Not_seen,ICOUK
17,2457516.328,51.13321,0.26256,1.016,2457516.313,2457516.347,47.9,3.09244,290.29159,-3.68504,303.32333,0.00241,1.00699,14.68188,6.77748,13.03174,0.01633,60.75022,0.54044,0.54095,-0.18403,-0.18375,0.5,Not_seen,Not_seen,Not_seen,ICOUK
18,2457517.349,50.85519,0.57292,2.037,2457517.313,2457517.395,118.1,8.57475,286.45559,-7.63522,309.92973,0.00244,1.00742,28.46172,16.20996,23.47414,0.06043,59.50691,1.95953,1.96459,1.47178,1.47412,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOUK
19,2457545.356,53.70291,-1.6337,0.731,2457545.355,2457545.357,2.76667,-0.38161,301.25654,-0.96784,312.354,0.00245,1.0124,11.11211,0.58623,11.09746,0.00937,59.94718,0.3062,0.30617,-0.93806,-0.93808,0.5,Not_seen,Not_seen,Not_seen,ICOUK
20,2457545.352,52.48142,-1.89983,0.728,2457545.351,2457545.354,4.86667,-0.22841,300.06908,-1.08273,311.08084,0.00244,1.0124,11.04402,0.85433,11.01176,0.00926,59.95025,0.30249,0.30247,-0.91344,-0.91345,0.5,Not_seen,Not_seen,Not_seen,ICOUK
21,2457545.357,53.79391,-1.75206,0.732,2457545.356,2457545.358,2.61667,-0.39139,301.34723,-0.96024,312.45539,0.00245,1.0124,11.1219,0.56885,11.10817,0.00939,59.9467,0.30674,0.3067,-0.93948,-0.9395,0,Not_seen,Not_seen,Not_seen,ICOUK
22,2457545.344,51.50853,-0.12574,0.719,2457545.342,2457545.346,6.03333,-0.13319,299.22722,-1.15346,310.10769,0.00244,1.01239,10.92737,1.02028,10.88047,0.00907,59.95564,0.29618,0.29617,-0.90058,-0.90058,0,Not_seen,Not_seen,Not_seen,ICOUK
23,2457545.344,51.50853,-0.12574,0.719,2457545.342,2457545.346,6.03333,-0.13319,299.22722,-1.15346,310.10769,0.00244,1.01239,10.92737,1.02028,10.88047,0.00907,59.95564,0.29618,0.29617,-0.90058,-0.90058,0,Not_seen,Not_seen,Not_seen,ICOUK
