Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
0,2452613.109,30.9,35.8,0.294,2452613.107,2452613.112,6.96667,0.13989,241.63012,-1.43197,244.73804,0.00245,0.98317,3.48254,1.57186,3.10793,0.00092,59.88102,0.03013,0.03013,-1.00754,-1.00754,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
1,2451226.121,33.3,44.4,0.344,2451226.116,2451226.126,14.2,0.9595,254.70547,-2.11218,256.59669,0.00251,0.98547,3.60704,3.07168,1.89123,0.00099,58.34475,0.03149,0.0315,-0.8567,-0.8567,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
2,2452229.072,24.3,54.3,0.294,2452229.067,2452229.078,15.91667,1.27821,250.26974,-2.34938,250.63814,0.00251,0.98658,3.64624,3.62759,0.3684,0.00101,58.43899,0.03223,0.03224,-0.80065,-0.80064,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
3,2452229.115,31.9,35.8,0.337,2452229.109,2452229.122,18.48333,1.40984,248.11077,-2.46171,249.5561,0.00251,0.98657,4.13242,3.87155,1.44533,0.0013,58.40873,0.04137,0.04139,-0.77052,-0.77051,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
4,2453145.157,29.4,48,0.454,2453145.15,2453145.165,21.68333,1.70959,294.96866,-2.74801,294.75928,0.00271,1.00924,4.46251,4.4576,-0.20938,0.00152,54.11334,0.04469,0.04472,-0.70984,-0.70982,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
5,2452170.048,4.1,73.3,0.113,2452170.045,2452170.052,10,0.76094,275.92425,-1.94247,272.2482,0.0024,1.00262,4.56265,2.70341,-3.67605,0.00158,61.09412,0.05275,0.05276,-0.88022,-0.88021,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
6,2452613.212,10.3,9.8,0.396,2452613.207,2452613.218,16.25,1.37631,245.39222,-2.47567,247.80121,0.00245,0.98315,4.54293,3.85198,2.40899,0.00157,59.80559,0.05119,0.05121,-0.76634,-0.76632,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
7,2452170.119,26.6,50,0.183,2452170.113,2452170.126,19.18333,1.73936,274.90729,-2.73764,273.69627,0.0024,1.0026,4.63781,4.47701,-1.21102,0.00164,61.05036,0.05446,0.05449,-0.70179,-0.70177,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
8,2452613.234,6.5,3.4,0.419,2452613.229,2452613.241,18.1,1.62265,245.72316,-2.68367,247.87143,0.00245,0.98315,4.81216,4.30632,2.14827,0.00176,59.78557,0.05742,0.05744,-0.71702,-0.717,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
9,2445703.142,15.6,35.6,0.423,2445703.138,2445703.148,14.1,1.06431,243.30542,-2.21893,246.86898,0.00266,0.98063,4.84498,3.28324,3.56356,0.00179,55.0339,0.05358,0.05359,-0.82172,-0.82171,0,Not_seen,Not_seen,Not_seen,SCHAEFER/ODEH
