No,Y,M,D,M/E,JD,Lat,Long,ARCL,ARCV,DAZ,Age,Lag,?,W',q,Visibility,Prediction
37,1870,7,25,M,4271.971,38,23.7,40.3,31.1,-26.1,-81.2,-173.7,55.4,3.6,3.73,V,V
73,1879,7,22,E,7549.879,38,23.7,42.2,19.1,37.8,81.4,99.3,58.2,4.1,2.804,V,V
48,1872,9,30,M,5069.146,38,23.7,29.3,29.2,-2.4,-60.3,-148.4,54.8,1.9,2.749,V,V
74,1879,12,11,M,7696.963,38,23.7,32.5,25.2,-20.6,-54.7,-145.6,60.9,2.6,2.665,V,V
75,1879,12,15,E,7696.963,38,23.7,30.6,24.4,18.6,53.1,139.9,59.9,2.3,2.433,V,V
274,1984,10,26,E,45998.008,15.6,35.6,29.7,24.7,16.7,51.8,106.5,59.8,2.2,2.409,V,V
72,1879,6,22,E,7520.347,38,23.7,34.2,21.8,26.5,70.4,120.7,56.5,2.7,2.359,V,V
71,1879,5,23,E,7490.744,38,23.7,28.3,24.1,14.9,60.8,138.2,55,1.8,2.182,V,V
270,1984,8,28,E,45939.31,15.6,35.6,27.1,23.5,13.5,45.2,96,61,1.8,2.143,V,V
266,1984,6,1,E,45851.2,15.6,35.6,25,24.7,3.6,48.1,111.5,58,1.5,2.1,V,V
285,1991,5,16,E,48390.692,39,-76.8,26.1,23.1,12.3,44.6,133.6,60.8,1.7,2.035,V,V
263,1984,4,3,E,45792.007,15.6,35.6,24.5,24.5,0.2,52.4,101.1,55.1,1.4,2.016,V,V
9,1861,9,7,E,1023.425,38,23.7,38.9,13.7,36.5,67.1,68.2,60.4,3.7,2.014,V,V
70,1878,11,26,E,7312.884,38,23.7,30.6,18.7,24.3,54.7,109.3,58.6,2.2,1.846,V,V
35,1868,6,22,E,3504.115,38,23.7,30.2,18.4,24,51.8,101.3,60.7,2.3,1.827,V,V
19,1864,3,9,E,1938.666,38,23.7,21.8,21.6,2.3,37.3,107.9,60.1,1.2,1.637,V,V
284,1991,3,17,E,48331.841,39,-76.8,21.7,21.7,0.9,39.9,110.5,58.4,1.1,1.617,V,V
261,1984,3,4,E,45762.272,15.6,35.6,21.3,21.2,1.8,45.9,86,54.1,1,1.511,V,V
26,1865,3,28,E,2322.728,38,23.7,21.2,20.4,5.8,36,102.7,60.9,1.1,1.496,V,V
245,1989,10,3,E,47799.407,36.1,-108.8,34.6,13.4,32,75.7,67,54,2.6,1.485,V,V
65,1878,1,5,E,6988.086,38,23.7,23.6,19.7,13.1,50.1,109.8,54.7,1.2,1.477,V,V
267,1984,6,30,E,45880.638,15.6,35.6,21,20.4,5,37.6,90.6,59.3,1.1,1.461,V,V
276,1984,11,24,E,46027.457,15.6,35.6,22.6,19.5,11.6,40.8,86.6,58.8,1.2,1.45,V,V
21,1864,6,6,E,2026.986,38,23.7,27,17.3,20.8,54.8,94.9,55.3,1.6,1.438,V,V
4,1860,2,23,E,462.318,38,23.7,20.7,20.6,2,45.3,103,54.1,1,1.428,V,V
272,1984,9,26,E,45968.634,15.6,35.6,22.1,18.9,11.5,36.9,76,61,1.2,1.385,V,V
254,1983,11,6,E,45643.432,15.6,35.6,21.7,19.1,10.3,41.3,81.5,57.3,1.1,1.351,V,V
11,1861,11,4,E,1082.172,38,23.7,28.4,14.5,24.5,47.9,79.3,60.8,2,1.318,V,V
17,1864,1,10,E,1879.824,38,23.7,19.8,19.2,5,32.4,102.8,61.2,1,1.295,V,V
