Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
0,2404268.586,38,23.7,26.105,2404268.64,2404268.52,-172.25,16.55228,76.94911,-13.63706,50.88683,0.00265,1.01358,39.67781,30.18934,-26.06228,0.11518,53.08969,3.33189,3.34655,3.50588,3.51297,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
1,2407553.268,38,23.7,3.389,2407553.238,2407553.306,97.98333,10.10809,266.00899,-8.1182,303.74064,0.00252,1.01401,41.75295,18.22629,37.73165,0.12699,57.3214,3.96641,3.97802,2.63051,2.63669,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
2,2405066.635,38,23.7,27.098,2405066.68,2405066.578,-147.03333,14.48563,85.17835,-13.809,82.74465,0.00267,0.99843,28.39697,28.29463,-2.4337,0.06016,53.05908,1.73943,1.74614,2.57766,2.58081,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
3,2407694.685,38,23.7,27.158,2407694.729,2407694.629,-143.98333,11.75484,130.19975,-12.44608,109.57354,0.00241,0.98244,31.69781,24.20092,-20.62621,0.07458,59.63689,2.42371,2.43227,2.48379,2.4877,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
4,2407699.172,38,23.7,2.211,2407699.129,2407699.225,138.36667,11.65113,230.78125,-11.67794,249.45836,0.00245,0.98192,29.80333,23.32907,18.67711,0.06613,58.65662,2.1137,2.12098,2.25475,2.25809,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
5,2446000.165,15.6,35.6,2.159,2446000.132,2446000.206,105.23333,11.82196,243.25116,-11.87601,259.99471,0.00245,0.99172,28.94696,23.69797,16.74355,0.06247,58.48677,1.99075,1.99769,2.23502,2.23822,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
6,2407523.28,38,23.7,2.934,2407523.243,2407523.326,119.31667,11.71692,283.23398,-9.22946,309.68763,0.00259,1.01437,33.62089,20.94638,26.45365,0.08364,55.35099,2.52265,2.5309,2.20356,2.20733,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
7,2407493.274,38,23.7,2.531,2407493.232,2407493.327,136.65,12.39876,292.34075,-10.82418,307.17983,0.00266,1.01064,27.50335,23.22294,14.83908,0.05651,53.73264,1.65449,1.66005,2.03041,2.03304,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
8,2445941.191,15.6,35.6,1.882,2445941.162,2445941.228,94.78333,11.74956,269.6218,-10.77249,283.13481,0.0024,1.00782,26.21967,22.52205,13.51301,0.05145,59.74286,1.67479,1.68071,1.96993,1.97273,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
9,2445853.204,15.6,35.6,2.004,2445853.17,2445853.247,110.3,12.27997,293.60177,-11.51695,297.1478,0.00253,1.01198,24.05589,23.79692,3.54603,0.04343,56.63826,1.34022,1.34491,1.93639,1.9387,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,YALLOP
