Lat.,Long.,Date, Age, Lag, ARCV, ARCL, DAZ,Means
23.55,46.39, 1988/03/19,37.05,93,20.34,20.49,2.55, N
19.52,42.22, 1988/04/17,27.49,65,14.15,14.83,4.49, T
23.56,46.93, 1988/04/17,27.28,68,14.34,14.7,3.27, T
28.4,36.73, 1989/03/08,21.31,56,11.9,11.97,1.11, T
28.4,36.73, 1990/02/26,30.61,77,16.36,16.41,1.33, N
26.45,36.38, 1990/03/27,20.01,51,10.99,11.67,3.95, T
28.4,36.73, 1990/03/27,20,53,11.11,11.65,3.54, N
28.4,36.73, 1990/04/26,35.62,107,20.88,20.91,1.12, N
26.45,36.38, 1990/06/23,21.6,55,10.94,11.84,4.54, T
28.4,36.73, 1991/04/15,20.35,54,11.02,11.53,3.41, T
26.45,36.38, 1991/05/15,35.64,101,19.98,20.11,2.27, N
28.4,36.73, 1992/03/05,26.02,56,11.9,12.49,3.82, N
28.4,36.73, 1992/06/02,36.01,89,17.62,19.57,8.65, N
26.45,36.38, 1992/07/01,20.94,55,11.42,15.9,1.14, N
21.42,39.83, 1993/12/14,29.23,72,14.71,15.31,4.28, N
28.4,36.73, 1993/01/23,20.64,46,9.45,9.53,1.23, T
28.4,36.73, 1993/02/22,26.39,55,11.62,12.12,3.46, T
21.42,39.83, 1993/12/14,29.23,72,14.71,15.31,4.28, N
24.6,46.45, 1998/10/21,28.22,53,11.46,12.86,5.87, N
27.52,41.7, 1998/12/20,40.2,89,16.95,18.35,7.13, N
26.35,43.95, 1999/01/18,22.83,52,10.44,10.65,2.13, T
24.6,46.5, 1999/03/18,20.27,48,10.54,11.3,4.11, T
26.35,43.95, 1999/10/10,27.12,53,11.41,13.15,6.58, N
24.6,46.45, 2000/03/07,34.01,74,16.12,17,5.26, N
21.42,39.83, 2000/09/28,19.3,44,10.1,10.77,3.75, T
27.52,41.7, 2000/12/26,21.08,40,7.69,8.86,4.4, T
21.42,39.83, 2001/01/25,25.99,49,10.31,11.23,4.46, T
24.6,46.45, 2001/01/25,25.46,48,9.8,11.02,5.05, T
28.4,36.73, 2001/02/24,31.14,62,12.77,14.31,6.53, N
28.4,36.73, 2001/04/24,24.64,52,10.81,12.42,6.14, N
21.42,39.83, 2001/04/24,24.29,51,11.31,12.21,4.62, N
21.42,39.83, 2001/06/22,28.13,67,14.09,15.21,5.78, N
