,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
0,0,2447240.15543,23.55,46.39,1.655,2447240.12609,2447240.19211,95.06637,10.90919,276.29963,-9.67357,273.93216,0.00245,0.99357,20.717,20.58276,-2.36747,0.03233,58.77829,1.03549,1.03884,1.46209,1.46381,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ALREFAY
1,1,2447269.16396,19.52,42.22,1.664,2447269.14302,2447269.19013,67.83661,7.47506,287.91876,-6.92969,283.98738,0.0025,1.0017,14.92886,14.40475,-3.93138,0.01688,58.22278,0.53543,0.53661,0.57587,0.57654,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
2,2,2447269.15415,23.56,46.93,1.654,2447269.13239,2447269.18134,70.48572,7.53805,287.7226,-6.98464,284.92819,0.0025,1.0017,14.78767,14.52269,-2.79442,0.01656,58.22141,0.52539,0.52656,0.58202,0.58267,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
3,3,2447594.16637,28.4,36.73,1.666,2447594.14832,2447594.18892,58.47067,6.25595,268.88759,-5.69862,267.70287,0.00239,0.99051,12.01291,11.95457,-1.18472,0.01095,60.94245,0.36361,0.36431,0.23246,0.23287,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
4,4,2447949.16845,28.4,36.73,1.668,2447949.14382,2447949.19924,79.801,8.77025,265.8693,-7.72279,264.30895,0.00246,0.98793,16.56618,16.49304,-1.56035,0.02075,58.97784,0.66699,0.66873,0.85776,0.85872,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ALREFAY
5,5,2447978.173,26.45,36.38,1.673,2447978.15637,2447978.19378,53.87955,5.71721,279.51471,-5.34251,275.6696,0.00241,0.99564,11.7071,11.05972,-3.84511,0.0104,60.4481,0.3426,0.3432,0.13069,0.13104,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
6,6,2447978.17283,28.4,36.73,1.673,2447978.15572,2447978.19422,55.45199,5.78178,279.41551,-5.40054,275.9879,0.00241,0.99564,11.69425,11.18232,-3.42761,0.01038,60.44121,0.34181,0.34241,0.14249,0.14284,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ALREFAY
7,7,2448008.20107,28.4,36.73,1.701,2448008.16727,2448008.24333,109.53431,11.03487,291.38773,-10.1461,291.59384,0.0024,1.00419,21.18196,21.18097,0.20611,0.03378,60.03839,1.10515,1.10884,1.55748,1.55935,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ALREFAY
8,8,2448066.20289,26.45,36.38,1.703,2448066.18502,2448066.22522,57.88394,5.67878,294.26903,-5.0923,299.34975,0.00243,1.01402,11.90601,10.77108,5.08072,0.01076,59.90295,0.3511,0.3517,0.1068,0.10716,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
9,9,2448362.1804,28.4,36.73,1.68,2448362.16283,2448362.20236,56.92227,5.71648,287.28151,-5.42665,284.1677,0.00246,1.00094,11.56868,11.14312,-3.11382,0.01016,59.28791,0.32815,0.32871,0.13056,0.13089,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ALREFAY
