Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
332,2459258.231,52.48142,-1.89983,0.935,2459258.219,2459258.246,39.51667,2.28332,241.76737,-3.34868,252.16322,0.0026,0.98474,11.81934,5.632,10.39585,0.0106,56.29433,0.32518,0.32539,-0.4223,-0.42218,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,84152.76311836723
333,2459258.23,53.75,-2.48333,0.935,2459258.218,2459258.245,38.96667,2.14031,240.9789,-3.23162,251.52301,0.0026,0.98474,11.8298,5.37193,10.5441,0.01062,56.30026,0.32579,0.32599,-0.44795,-0.44783,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.375,145589.9623330756
334,2459258.23,53.58333,-2.43333,0.935,2459258.218,2459258.245,39.05,2.15988,241.08536,-3.24731,251.6109,0.0026,0.98474,11.8293,5.40719,10.52554,0.01062,56.29942,0.32575,0.32596,-0.44444,-0.44433,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.375,154688.93591806566
335,2459258.23,53.58333,-2.43333,0.935,2459258.218,2459258.245,39.05,2.15988,241.08536,-3.24731,251.6109,0.0026,0.98474,11.8293,5.40719,10.52554,0.01062,56.29942,0.32575,0.32596,-0.44444,-0.44433,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.375,154688.93591806566
336,2459258.226,51.62127,0.30556,0.931,2459258.214,2459258.242,39.48333,2.34983,242.27205,-3.40259,252.52998,0.0026,0.98474,11.75662,5.75242,10.25793,0.01049,56.29437,0.32175,0.32196,-0.41228,-0.41215,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,50526.32115686888
337,2459258.235,51.45523,-2.59665,0.939,2459258.223,2459258.25,40.16667,2.41319,242.37016,-3.45872,252.6628,0.0026,0.98474,11.84551,5.87191,10.29264,0.01065,56.28682,0.32657,0.3268,-0.39749,-0.39736,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.125,50683.55721704826
338,2459258.228,51.38333,-0.1,0.932,2459258.216,2459258.243,39.7,2.3835,242.4085,-3.43106,252.64678,0.0026,0.98474,11.76999,5.81456,10.23828,0.01051,56.29208,0.32247,0.32269,-0.40564,-0.40551,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,28718.40390094565
339,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,20648.90715971427
340,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,20648.90715971427
341,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.75,20648.90715971427
342,2459258.228,53.90553,-1.69383,0.932,2459258.216,2459258.243,38.71667,2.10876,240.87919,-3.20668,251.42394,0.0026,0.98474,11.8049,5.31544,10.54476,0.01058,56.3029,0.32444,0.32463,-0.45439,-0.45428,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.375,136244.2105903005
343,2459258.226,53.95763,-1.08271,0.93,2459258.214,2459258.241,38.55,2.09269,240.84583,-3.1941,251.38387,0.0026,0.98474,11.78606,5.28679,10.53804,0.01054,56.30455,0.32342,0.32361,-0.45786,-0.45775,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.375,114536.24324465395
344,2459258.237,49.21667,-2.11667,0.942,2459258.225,2459258.253,41.05,2.66353,243.57378,-3.66032,253.58804,0.0026,0.98474,11.83921,6.32385,10.01426,0.01064,56.27445,0.32615,0.3264,-0.35254,-0.3524,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,111191.37392927952
345,2459287.256,53.75,-2.48333,0.325,2459287.257,2459287.255,-3.18333,-0.81083,260.3145,-0.62596,266.40691,0.00265,0.99146,6.09473,0.18487,6.09241,0.00283,55.2096,0.08502,0.085,-1.11199,-1.112,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,145589.9623330756
346,2459287.256,53.58333,-2.43333,0.325,2459287.257,2459287.255,-3.03333,-0.80045,260.33863,-0.63281,266.42855,0.00265,0.99146,6.09175,0.16765,6.08992,0.00282,55.20976,0.08494,0.08492,-1.11376,-1.11378,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,154688.93591806566
347,2459287.25,51.62127,0.30556,0.318,2459287.25,2459287.249,-1.96667,-0.725,260.61628,-0.69739,266.64141,0.00265,0.99146,6.02473,0.02761,6.02513,0.00276,55.21359,0.08309,0.08307,-1.12892,-1.12893,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.25,50526.32115686888
348,2459287.252,51.46839,-0.36092,0.32,2459287.252,2459287.251,-1.71667,-0.70691,260.64207,-0.71566,266.67506,0.00265,0.99146,6.03253,0.00875,6.03299,0.00277,55.21297,0.0833,0.08328,-1.13067,-1.13068,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.25,9861.586642784281
349,2459287.255,53.61766,-2.1552,0.324,2459287.256,2459287.254,-3.13333,-0.80736,260.33305,-0.62798,266.41892,0.00265,0.99146,6.08804,0.17938,6.08588,0.00282,55.21001,0.08484,0.08482,-1.11265,-1.11267,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.625,144736.66039432728
350,2459287.252,53.95763,-1.08271,0.321,2459287.253,2459287.251,-3.63333,-0.84441,260.27594,-0.59643,266.3479,0.00265,0.99146,6.07653,0.24798,6.07196,0.00281,55.21086,0.08452,0.0845,-1.10599,-1.106,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.625,114536.24324465395
351,2459288.28,53.75,-2.48333,1.348,2459288.259,2459288.306,67.8,4.71907,261.76499,-5.28086,273.44707,0.00267,0.9918,15.36617,9.99992,11.68208,0.01787,54.62441,0.53202,0.53271,0.13347,0.13386,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,145456.74309766522
352,2459288.279,53.58333,-2.43333,1.348,2459288.259,2459288.306,67.75,4.73765,261.78754,-5.295,273.43726,0.00267,0.9918,15.36293,10.03265,11.64972,0.01787,54.62299,0.53178,0.53248,0.13661,0.137,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,135313.72249265428
353,2459288.279,53.58333,-2.43333,1.348,2459288.259,2459288.306,67.75,4.73765,261.78754,-5.295,273.43726,0.00267,0.9918,15.36293,10.03265,11.64972,0.01787,54.62299,0.53178,0.53248,0.13661,0.137,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,135313.72249265428
354,2459288.272,51.62127,0.30556,1.341,2459288.251,2459288.298,66.83333,4.91236,262.05269,-5.43706,273.284,0.00267,0.9918,15.26128,10.34941,11.23131,0.01763,54.61166,0.5247,0.52541,0.1643,0.1647,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,50526.32115686888
355,2459288.28,51.45523,-2.59665,1.349,2459288.259,2459288.306,67.35,4.9762,262.0873,-5.48905,273.32716,0.00267,0.9918,15.34607,10.46525,11.23986,0.01783,54.60339,0.53043,0.53116,0.17911,0.17952,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,77280.64824927523
356,2459288.279,52.47214,-2.08212,1.347,2459288.258,2459288.305,67.45,4.85608,261.94299,-5.39199,273.37439,0.00267,0.9918,15.34106,10.24807,11.4314,0.01782,54.61382,0.53019,0.5309,0.15726,0.15766,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,87224.1556900605
357,2459288.273,51.38333,-0.1,1.342,2459288.253,2459288.299,66.86667,4.94569,262.08623,-5.46215,273.27662,0.00267,0.9918,15.27091,10.40784,11.19039,0.01765,54.60849,0.52533,0.52605,0.17049,0.1709,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,28718.40390094565
358,2459288.273,51.38333,-0.1,1.342,2459288.253,2459288.299,66.86667,4.94569,262.08623,-5.46215,273.27662,0.00267,0.9918,15.27091,10.40784,11.19039,0.01765,54.60849,0.52533,0.52605,0.17049,0.1709,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,28718.40390094565
359,2459288.281,56.46913,-2.97489,1.349,2459288.259,2459288.307,68.53333,4.411,261.38308,-5.03215,273.57407,0.00267,0.9918,15.40948,9.44315,12.19099,0.01797,54.64751,0.53523,0.53588,0.0796,0.07997,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOUK,0.375,140251.29584626752
360,2459318.318,52.13459,-0.46632,1.713,2459318.289,2459318.353,91.86667,6.58086,282.12742,-6.68863,294.65125,0.00271,1.00034,18.22699,13.26949,12.52383,0.02509,53.67809,0.73379,0.73511,0.5718,0.57251,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOUK,0.125,65092.75874944951
361,2459347.35,53.75,-2.48333,1.059,2459347.334,2459347.371,53.4,2.95814,299.70949,-3.66937,308.37879,0.00272,1.00774,10.90843,6.62751,8.6693,0.00903,53.90623,0.26538,0.26559,-0.35814,-0.35801,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,106336.39502786384
362,2459347.349,53.58333,-2.43333,1.058,2459347.333,2459347.37,53.28333,2.97101,299.56979,-3.68152,308.20755,0.00272,1.00774,10.89864,6.65254,8.63776,0.00902,53.90555,0.2649,0.26511,-0.35592,-0.35579,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,88478.88245241232
363,2459347.349,53.58333,-2.43333,1.058,2459347.333,2459347.37,53.28333,2.97101,299.56979,-3.68152,308.20755,0.00272,1.00774,10.89864,6.65254,8.63776,0.00902,53.90555,0.2649,0.26511,-0.35592,-0.35579,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,88478.88245241232
364,2459347.349,53.58333,-2.43333,1.058,2459347.333,2459347.37,53.28333,2.97101,299.56979,-3.68152,308.20755,0.00272,1.00774,10.89864,6.65254,8.63776,0.00902,53.90555,0.2649,0.26511,-0.35592,-0.35579,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,88478.88245241232
365,2459347.336,51.62127,0.30556,1.044,2459347.32,2459347.356,51.75,3.0963,298.05004,-3.79069,306.27379,0.00272,1.00773,10.72272,6.88699,8.22375,0.00873,53.89817,0.25641,0.25662,-0.33754,-0.33741,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,50526.32115686888
366,2459347.343,51.45523,-2.59665,1.052,2459347.327,2459347.364,52.23333,3.14744,297.92474,-3.83148,306.17627,0.00272,1.00773,10.80307,6.97893,8.25152,0.00886,53.89618,0.26024,0.26047,-0.32605,-0.32592,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,50683.55721704826
367,2459347.338,52.2,0.11667,1.046,2459347.322,2459347.358,52.08333,3.05355,298.47435,-3.75244,306.80687,0.00272,1.00773,10.75491,6.80599,8.33252,0.00878,53.90051,0.25795,0.25817,-0.34471,-0.34458,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,58608.07583414769
368,2459347.344,52.72247,-1.3702,1.052,2459347.327,2459347.364,52.63333,3.02974,298.87311,-3.73165,307.33123,0.00272,1.00773,10.82453,6.76139,8.45812,0.0089,53.90218,0.2613,0.26152,-0.34718,-0.34705,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,87662.94242289329
369,2459347.336,51.11303,-0.18312,1.044,2459347.32,2459347.356,51.61667,3.14288,297.68959,-3.82936,305.83073,0.00272,1.00773,10.71476,6.97224,8.14114,0.00872,53.89578,0.25601,0.25623,-0.32924,-0.32911,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,51227.1774458598
370,2459347.336,51.38333,-0.1,1.045,2459347.32,2459347.356,51.71667,3.11991,297.87998,-3.81121,306.06868,0.00272,1.00773,10.72432,6.93112,8.1887,0.00873,53.897,0.25648,0.2567,-0.33308,-0.33295,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,28718.40390094565
371,2459347.336,51.38333,-0.1,1.045,2459347.32,2459347.356,51.71667,3.11991,297.87998,-3.81121,306.06868,0.00272,1.00773,10.72432,6.93112,8.1887,0.00873,53.897,0.25648,0.2567,-0.33308,-0.33295,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,28718.40390094565
372,2459347.348,53.69076,-1.62907,1.056,2459347.331,2459347.368,53.2,2.95227,299.66139,-3.66548,308.30182,0.00272,1.00774,10.8796,6.61774,8.64044,0.00899,53.9063,0.26398,0.26419,-0.35994,-0.35982,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,118181.46387305387
373,2459347.348,53.69076,-1.62907,1.056,2459347.331,2459347.368,53.2,2.95227,299.66139,-3.66548,308.30182,0.00272,1.00774,10.8796,6.61774,8.64044,0.00899,53.9063,0.26398,0.26419,-0.35994,-0.35982,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,0.875,118181.46387305387
374,2459347.361,56.46913,-2.97489,1.07,2459347.344,2459347.383,55.25,2.72114,302.30236,-3.46905,311.48449,0.00272,1.00774,11.06997,6.19019,9.18213,0.0093,53.91822,0.27333,0.27353,-0.39713,-0.39701,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,1.0,140251.29584626752
