Islamic Month,Date,Orig Location,Location,Latitude,Longitude,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
kea41,Sun 21 June 2020 ,"حاسي بحبح ,الجلفة,Algeria","Hassi Bahbah, Hassi Bahbah District, Djelfa, Algeria",35.0747536,3.0270488,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"قمار,الوادي,Algeria","Guemar, Taghzout, Guemar District, El Oued, Algeria",33.4916197,6.7977914,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"كوينين,الوادي,Algeria","Kouinine, El Oued District, El Oued, Algeria",33.4037855,6.8264542,After sunset,clear,superb,Not Seen,not seen,not seen,not sought,not sought
kea41,Sun 21 June 2020 ,"Shahreza,Isfahan,Iran","Shahreza, Shahreza Central District, Shahreza County, Isfahan Province, 86139-74183, Iran",32.0116032,51.8651719,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
kea41,Sun 21 June 2020 ,"الناظور,الشرق,Morocco","Nador, Rue Sidi Bennour, Nador الناظور, Nador, Pachalik de Nador باشوية الناظور, Nador Province, Oriental, 62000, Morocco",35.1739922,-2.9281198,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"طنجة,طنجة,Morocco","Tangier, Rue Abou Ali El Mâari, Bni Idder, arrondissement de Tanger-Medina طنجة المدينة, Tangier, Pachalik de Tanger باشوية طنجة, Prefecture of Tangier - Assilah, Tangier-Tetouan-Al Hoceima, 90013, Morocco",35.7774341,-5.8032309,After sunset,clear,superb,Not Seen,not seen,not seen,not sought,not sought
kea41,Sun 21 June 2020 ,"ارفود,الراشيدية,Morocco",Not found,0.0,0.0,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"تاوريرت,تاوريرت,Morocco","Taourirt, Rue Midelt زنقة ميدلت, Taourirt, Pachalik de Taourirt باشوية تاوريرت, Taourirt Province, Oriental, 65800, Morocco",34.408823,-2.8980697,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"بنسليمان ,بنسليمان,Morocco","Tangier, Pachalik de Tanger باشوية طنجة, Prefecture of Tangier - Assilah, Tangier-Tetouan-Al Hoceima, Morocco",35.7642313,-5.842961427833071,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not sought
kea41,Sun 21 June 2020 ,"TUCSON,ARIZONA,United States","Tucson, Pima County, Arizona, United States",32.2228765,-110.974847,After sunset,clear,clear,Seen,not sought,not sought,seen,not sought
kea41,Sun 21 June 2020 ,"Blacksburg,Virginia,United States","Blacksburg, Montgomery County, Virginia, United States",37.2296566,-80.4136767,After sunset,partly cloudy,very hazy,Not Seen,not sought,not seen,not sought,not sought
kea41,Mon 22 June 2020 ,"الكويف,تبسة,Algeria","El Kouif, El Kouif District, Tébessa, Algeria",35.500823,8.321967,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
kea41,Mon 22 June 2020 ,"عجاجة,ورقلة,Algeria","Adjadja, Aïn El Beïda, Sidi Khouiled District, Ouargla, Algeria",31.9523609,5.389612044580227,After sunset,clear,clear,Seen,not sought,not sought,not sought,not sought
kea41,Mon 22 June 2020 ,"حاسي بحبح ,الجلفة,Algeria","Hassi Bahbah, Hassi Bahbah District, Djelfa, Algeria",35.0747536,3.0270488,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
kea41,Mon 22 June 2020 ,"باتنة,باتنة,Algeria","Batna, Batna district, Batna, Algeria",35.5544227,6.1767747,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
kea41,Mon 22 June 2020 ,"عيسى,الجنوبية,Bahrain","Isa Town, Southern Governorate, 802, Bahrain",26.1741995,50.5473432,Before sunset,clear,superb,Photographed,not sought,not sought,not seen,seen
kea41,Mon 22 June 2020 ,"Dhaka,Dhaka,Bangladesh","Dhaka, Dhaka Metropolitan, Dhaka District, Dhaka Division, 1215, Bangladesh",23.7644025,90.389015,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
kea41,Mon 22 June 2020 ,"Munich,Bavaria,Germany","Munich, Bavaria, Germany",48.1371079,11.5753822,Before sunset,partly cloudy,clear,Photographed,not sought,not sought,not sought,seen
kea41,Mon 22 June 2020 ,"Szedres,Tolna,Hungary","Szedres, Szekszárdi járás, Tolna, Southern Transdanubia, Transdanubia, 7056, Hungary",46.4744051,18.6848887,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
kea41,Mon 22 June 2020 ,"Surakarta,Central Java,Indonesia","Surakarta, Central Java, Java, Indonesia",-7.5692489,110.828448,Before sunset,partly cloudy,hazy,Photographed,not seen,not seen,not seen,seen
kea41,Mon 22 June 2020 ,"Surakarta,Central Java,Indonesia","Surakarta, Central Java, Java, Indonesia",-7.5692489,110.828448,After sunset,partly cloudy,hazy,Seen,not seen,seen,seen,seen
kea41,Mon 22 June 2020 ,"Ponorogo,Jawa Timur,Indonesia","Ponorogo, East Java, Java, Indonesia",-7.97122665,111.49889293326969,After sunset,partly cloudy,hazy,Photographed,not seen,not sought,not sought,seen
