hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-1,2009-12-16 12:02:00,2009-12-16,Nigeria,Bauchi,Bauchi,clear,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-16,Saudi Arabia,Dammam,Eastern,superb,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-16,South Africa,Cape Town,Western Province,superb,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-16,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-16,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-16,United States,Blacksburg,Virginia,clear,partly cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Algeria,Ghardaia,Ghardaia,superb,partly cloudy,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Bangladesh,Dhaka,Dhaka,hazy,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Germany,Moerlenbach,Hessen,hazy,totally cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Nigeria,KADUNA,KADUNA,superb,clear,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Nigeria,Lagos,Lagos,hazy,partly cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Nigeria,IKORODU,LAGOS,hazy,partly cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Nigeria,Bauchi,Bauchi,clear,partly cloudy,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Oman,Muscat,Muscat,hazy,partly cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Pakistan,Karachi,Sindh,clear,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Saudi Arabia,Dammam,Eastern,hazy,totally cloudy,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Senegal,Louga,Senegal,hazy,partly cloudy,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Somalia,Garoowe,Puntland State Of Somalia,clear,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,Tanzania,Zanzibar,Zanzibar City,clear,clear,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,United Kingdom,Gloucester,Glos.,superb,clear,False,False,False,False
31-1,2009-12-16 12:02:00,2009-12-17,United States,Blacksburg,Virginia,hazy,partly cloudy,True,True,False,False
31-1,2009-12-16 12:02:00,2009-12-17,United States,McDonald Obs,Texas,superb,clear,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-15,Algeria,Ghardaia,Ghardaia,hazy,partly cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-15,Norway,Oslo,Oslo,hazy,totally cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-15,South Africa,Cape Town,Western Province,clear,clear,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-15,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-15,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-15,United States,Blacksburg,Virginia,clear,partly cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Bangladesh,Dhaka,Dhaka,hazy,clear,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Germany,Munich,Bavaria,hazy,clear,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Germany,Moerlenbach,Hessen,hazy,totally cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Japan,Tsukuba,Ibaki,clear,clear,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Nigeria,Ikorodu,Lagos,hazy,partly cloudy,False,False,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Nigeria,Kaduna,Kaduna,clear,clear,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Pakistan,Karachi,Sindh,hazy,clear,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Saudi Arabia,الدمام,الدمام,clear,partly cloudy,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-16,Tanzania,Zanzibar City,Zanzibar,superb,clear,True,True,False,False
31-2,2010-01-15 07:11:00,2010-01-16,United Arab Emirates,Abu Dhabi,Abu Dhabi,clear,clear,True,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,Germany,Munich,Bavaria,superb,clear,False,False,False,True
31-3,2010-02-14 02:51:00,2010-02-14,Nigeria,Agege,Lagos,hazy,partly cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,Pakistan,Karachi,Sindh,clear,clear,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,Saudi Arabia,الدمام,المنطقة الشرقية,clear,clear,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,Somalia,Garoowe,Puntland State,hazy,partly cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,South Africa,Cape Town,Western Province,hazy,partly cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,Tanzania,Zanzibar,Zanzibar City,superb,clear,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,United Kingdom,York,North Yorkshire,hazy,partly cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-14,United States,Blacksburg,Virginia,hazy,partly cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Algeria,Ghardaia,Ghardaia,very hazy,totally cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Bangladesh,Sunamgonj,Sunamgonj,clear,clear,True,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Germany,Moerlenbach,Hessen,hazy,totally cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Japan,Tsukuba,Ibaraki,very hazy,totally cloudy,False,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Jordan,عمان,عمان,hazy,partly cloudy,True,True,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,True,False,True,False
31-3,2010-02-14 02:51:00,2010-02-15,Nigeria,KADUNA,KADUNA,clear,clear,True,True,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Pakistan,Karachi,Sindh,clear,clear,True,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Saudi Arabia,الدمام,المنطقة الشرقية,clear,partly cloudy,True,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,Somalia,Garoowe,Puntland State,hazy,clear,True,False,False,False
31-3,2010-02-14 02:51:00,2010-02-15,United States,Blacksburg,VA,hazy,partly cloudy,True,True,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Algeria,Ghardaia,Ghardaia,superb,clear,True,True,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Germany,Munich,Bavaria,very hazy,totally cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Germany,Moerlenbach,Hessen,clear,totally cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Nigeria,Bauchi,Bauchi,clear,totally cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Pakistan,Karachi,Sindh,hazy,clear,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Saudi Arabia,Riyadh,Riyadh,hazy,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Saudi Arabia,Dammam,Eastern Province,clear,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Senegal,Louga,Senegal,clear,clear,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Somalia,Garoowe,Puntland State,hazy,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,South Africa,Cape Town,Western Cape,clear,clear,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,Trinidad And Tobago,Cunupia,Chaguanas,clear,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-16,United States,Buchanan,Virginia,hazy,partly cloudy,True,True,False,False
31-4,2010-03-15 21:01:00,2010-03-16,United States,Gainesville,Florida,clear,partly cloudy,True,True,False,False
31-4,2010-03-15 21:01:00,2010-03-17,Nigeria,KADUNA,KADUNA,hazy,partly cloudy,False,False,False,False
31-4,2010-03-15 21:01:00,2010-03-17,Pakistan,Karachi,Sindh,hazy,clear,True,False,False,False
31-4,2010-03-15 21:01:00,2010-03-17,Somalia,Garoowe,Puntland State,hazy,partly cloudy,True,False,False,False
31-5,2010-04-14 12:29:00,2010-04-14,Algeria,Ghardaia,Ghardaia,hazy,clear,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-14,Nigeria,Bauchi,Bauchi,hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-14,United States,Blacksburg,Virginia,very hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-14,United States,Tucson,AZ,clear,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Germany,Moerlenbach,Hessen,hazy,totally cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Germany,Munich,Bavaria,hazy,partly cloudy,True,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Nigeria,Oshodi,Lagos,very hazy,totally cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Pakistan,Karachi,Sindh,hazy,clear,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,True,True,True,False
31-5,2010-04-14 12:29:00,2010-04-15,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,True,True,True,False
31-5,2010-04-14 12:29:00,2010-04-15,Senegal,Dakar,Senegal,hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,South Africa,Cape Town,Western Province,hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Tanzania,Daressalaam,Tanzania,very hazy,partly cloudy,False,False,False,False
