Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
0,2455182.20974,10.62283,10.02878,0.208,2455182.20889,2455182.2108,2.75,-0.24016,243.84099,-1.1086,246.45029,0.00267,0.9815,2.74983,0.86844,2.6093,0.00058,54.84706,0.01721,0.01721,-1.08601,-1.08601,0,Not_seen,Not_seen,Not_seen,0,ICOP
1,2455182.07368,26.43678,50.104,0.072,2455182.07632,2455182.07038,-8.55,-1.46466,241.42564,-0.06928,243.78282,0.00267,0.98151,2.739,1.39539,2.35718,0.00057,54.87908,0.01708,0.01707,-1.03339,-1.0334,0,Not_seen,Not_seen,Not_seen,0,ICOP
2,2455182.25002,-33.92899,18.4174,0.249,2455182.24598,2455182.25506,13.06667,0.68812,239.97115,-1.88146,240.01058,0.00267,0.98149,2.56988,2.56958,0.03943,0.0005,54.82912,0.01502,0.01503,-0.91727,-0.91727,0,Not_seen,Not_seen,Not_seen,0,ICOP
3,2455182.41143,10.55202,-61.37228,0.41,2455182.40737,2455182.4165,13.15,0.99048,243.76188,-2.1496,246.64526,0.00268,0.98148,4.26276,3.14008,2.88339,0.00138,54.76788,0.04128,0.04129,-0.84373,-0.84372,0,Not_seen,Not_seen,Not_seen,0,ICOP
4,2455182.4225,37.22966,-80.41368,0.421,2455182.42066,2455182.4248,5.96667,-0.03313,236.67397,-1.29445,241.26663,0.00268,0.98148,4.76233,1.26132,4.59266,0.00173,54.77217,0.05152,0.05152,-1.0252,-1.0252,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
5,2455183.2117,32.48586,3.6771,1.21,2455183.19591,2455183.23144,51.15,4.3677,236.88158,-5.14035,245.48087,0.00269,0.98146,12.81318,9.50804,8.59929,0.01245,54.35862,0.36879,0.36924,-0.00918,-0.00892,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
6,2455182.98088,23.81065,90.41265,0.979,2455182.96845,2455182.99642,40.28333,3.77499,240.4902,-4.55985,246.43854,0.00269,0.98146,10.23661,8.33484,5.94834,0.00796,54.46894,0.23622,0.23647,-0.20482,-0.20467,0,Not_seen,Not_seen,Not_seen,0,ICOP
7,2455183.23256,10.38253,7.85332,1.231,2455183.21556,2455183.25381,55.08333,6.00264,243.83381,-6.36961,247.32986,0.00269,0.98146,12.85486,12.37225,3.49605,0.01253,54.21189,0.37018,0.37079,0.27805,0.27841,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
8,2455183.25011,6.45506,3.39418,1.249,2455183.23274,2455183.27183,56.28333,6.24792,244.63284,-6.54558,247.11124,0.00269,0.98146,13.03038,12.79351,2.4784,0.01287,54.18185,0.38011,0.38076,0.32595,0.32633,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
9,2455183.24959,6.61912,3.50413,1.248,2455183.23223,2455183.2713,56.25,6.24096,244.60141,-6.53888,247.12323,0.00269,0.98146,13.02526,12.77984,2.52182,0.01286,54.18272,0.37982,0.38047,0.32442,0.32479,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
10,2455183.22611,10.62283,10.02878,1.225,2455183.20921,2455183.24722,54.73333,5.954,243.7794,-6.32974,247.33427,0.00269,0.98146,12.78588,12.28374,3.55487,0.0124,54.21861,0.36628,0.36688,0.26693,0.26728,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
11,2455183.0717,23.5882,58.38294,1.07,2455183.05777,2455183.08912,45.15,4.31329,240.44984,-5.02199,246.6616,0.00269,0.98146,11.20922,9.33528,6.21177,0.00954,54.4047,0.28276,0.28309,-0.07703,-0.07683,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
12,2455183.04537,24.85468,67.02071,1.044,2455183.03193,2455183.06216,43.53333,4.07467,240.07627,-4.82387,246.44454,0.00269,0.98146,10.93872,8.89854,6.36826,0.00908,54.4294,0.26944,0.26974,-0.12862,-0.12843,0,Not_seen,Not_seen,Not_seen,0,ICOP
13,2455183.2917,15.24013,-15.34418,1.29,2455183.2739,2455183.31396,57.68333,6.13395,242.69482,-6.51419,247.49112,0.00269,0.98146,13.52355,12.64815,4.7963,0.01386,54.18143,0.40929,0.40997,0.32832,0.32872,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
14,2455183.12039,8.40614,48.4832,1.119,2455183.10508,2455183.13954,49.61667,5.39042,244.17471,-5.84629,247.17093,0.00269,0.98146,11.62808,11.23672,2.99621,0.01026,54.30316,0.30364,0.30409,0.12548,0.12575,0,Not_seen,Not_seen,Not_seen,0,ICOP
15,2455183.16545,-6.75715,39.2392,1.164,2455183.14909,2455183.1859,53.01667,5.89751,246.25361,-6.17219,245.50342,0.00269,0.98146,12.0929,12.0697,-0.75018,0.0111,54.24215,0.32794,0.32847,0.22309,0.2234,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
16,2455183.16439,-6.09994,39.32094,1.163,2455183.14806,2455183.18481,52.93333,5.89239,246.1983,-6.17432,245.61479,0.00269,0.98146,12.08075,12.06671,-0.58351,0.01107,54.24297,0.32729,0.32782,0.22241,0.22272,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
17,2455183.17866,51.86537,-2.24582,1.177,2455183.16568,2455183.19488,42.05,1.89403,223.28006,-3.14217,235.00047,0.00269,0.98146,12.75251,5.0362,11.72041,0.01233,54.49699,0.36625,0.36645,-0.45784,-0.45773,0,Not_seen,Not_seen,Not_seen,0,ICOP
18,2455183.44041,37.22966,-80.41368,1.439,2455183.42091,2455183.46477,63.15,5.047,234.06208,-5.80373,244.92523,0.00269,0.98147,15.34236,10.85073,10.86314,0.01782,54.23981,0.52664,0.52738,0.21553,0.21594,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
19,2455183.49167,39.78373,-100.44588,1.49,2455183.4714,2455183.517,65.66667,4.97523,232.45778,-5.78163,244.22556,0.00269,0.98147,15.93036,10.75686,11.76778,0.0192,54.23156,0.56743,0.56821,0.22904,0.22947,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
20,2455212.21535,32.48586,3.6771,0.416,2455212.20997,2455212.22208,17.45,1.22886,245.35537,-2.32402,246.4002,0.00271,0.98101,3.70326,3.55288,1.04483,0.00104,54.01975,0.03073,0.03074,-0.80906,-0.80905,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
21,2455212.25263,-33.92899,18.4174,0.453,2455212.25019,2455212.25569,7.93333,0.2563,247.44668,-1.48906,243.23352,0.00271,0.98101,4.56,1.74536,-4.21316,0.00158,54.02723,0.04659,0.0466,-0.97987,-0.97987,0,Not_seen,Not_seen,Not_seen,0,ICOP
22,2455212.42584,10.55202,-61.37228,0.626,2455212.41822,2455212.43537,24.7,2.51374,250.35817,-3.34964,249.24126,0.00271,0.98103,5.96871,5.86338,-1.11691,0.00271,53.95694,0.07969,0.07975,-0.54744,-0.54741,0,Not_seen,Not_seen,Not_seen,0,ICOP
23,2455212.44573,37.22966,-80.41368,0.646,2455212.4361,2455212.45777,31.2,2.43572,243.64134,-3.33106,245.99654,0.00271,0.98103,6.22878,5.76678,2.3552,0.00295,53.9581,0.08679,0.08684,-0.55271,-0.55267,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
24,2455212.99879,23.81065,90.41265,1.199,2455212.98139,2455213.02054,56.38333,5.94687,248.71095,-6.16786,249.84534,0.00272,0.98112,12.16752,12.11472,1.13439,0.01123,53.67396,0.32851,0.32904,0.22793,0.22824,0,Not_seen,Not_seen,Not_seen,0,ICOP
25,2455213.18393,48.13711,11.57538,1.384,2455213.15876,2455213.21539,81.55,5.79734,237.55373,-6.17124,245.40395,0.00272,0.98115,14.30553,11.96859,7.85023,0.0155,53.68009,0.4535,0.45421,0.28577,0.28618,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
26,2455212.84224,36.08339,140.07651,1.043,2455212.82582,2455212.86275,53.18333,4.69421,244.23171,-5.1959,247.81255,0.00272,0.98109,10.51688,9.89012,3.58084,0.0084,53.7927,0.2462,0.24652,-0.04332,-0.04313,0,Not_seen,Not_seen,Not_seen,0,ICOP
27,2455213.26156,6.61912,3.50413,1.462,2455213.24253,2455213.28534,61.63333,7.3669,253.45785,-7.20048,249.7255,0.00272,0.98117,15.03541,14.56737,-3.73235,0.01712,53.50813,0.49908,0.50007,0.57161,0.57217,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
28,2455213.24572,10.38253,7.85332,1.446,2455213.2264,2455213.26986,62.58333,7.38068,252.64292,-7.23955,250.02839,0.00272,0.98116,14.85092,14.62023,-2.61453,0.0167,53.50694,0.48696,0.48794,0.57002,0.57057,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
29,2455213.06362,24.85468,67.02071,1.264,2455213.04507,2455213.08681,60.1,6.31894,248.49346,-6.47086,249.94287,0.00272,0.98113,12.87132,12.7898,1.44942,0.01256,53.63328,0.36717,0.3678,0.31805,0.31842,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
30,2455213.10953,26.43678,50.104,1.31,2455213.09003,2455213.1339,63.16667,6.55814,248.05641,-6.67713,249.96629,0.00272,0.98114,13.37175,13.23527,1.90988,0.01355,53.60595,0.39594,0.39664,0.37931,0.37972,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
