Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
0,2457309.22153,53.95763,-1.08271,0.722,2457309.21318,2457309.23197,27.05935,1.51838,252.00232,-1.73173,259.02584,0.00271,0.99508,7.7382,3.25011,7.02353,54.14174,0.13433,0.13438,-0.77507,-0.77503,1,Not_seen
1,2457339.18743,53.95763,-1.08271,1.687,2457339.16959,2457339.20973,57.80819,3.36486,235.23797,-3.31808,243.97528,0.00266,0.98725,10.99616,6.68294,8.73731,55.04632,0.27535,0.27561,-0.34666,-0.3465,0.5,Not_seen
2,2457398.18532,53.95763,-1.08271,0.685,2457398.16458,2457398.21125,67.20869,3.82122,233.19221,-3.52379,236.46999,0.00252,0.98095,8.04228,7.34501,3.27778,58.03155,0.1555,0.15567,-0.35263,-0.35252,0.5,Not_seen
3,2457428.23797,53.58333,-2.43333,1.738,2457428.20875,2457428.2745,94.68585,6.40548,245.47535,-5.81151,253.06492,0.00244,0.98427,14.37485,12.21699,7.58956,59.59324,0.50832,0.5093,0.3418,0.34236,1,Not_seen
4,2457428.23591,52.6386,-1.13169,1.736,2457428.20718,2457428.27183,93.09817,6.46498,246.07108,-5.86126,253.40983,0.00244,0.98427,14.3382,12.32624,7.33875,59.58563,0.50568,0.50667,0.35124,0.35179,0,Seen
5,2457457.2611,52.6386,-1.13169,0.761,2457457.24528,2457457.28087,51.24933,3.50315,262.44978,-3.43885,267.72094,0.0024,0.99075,8.7145,6.942,5.27116,60.83454,0.19134,0.19155,-0.37114,-0.37102,1,Not_seen
6,2457457.25934,51.87967,-0.41748,0.759,2457457.2437,2457457.2789,50.69011,3.53057,262.58959,-3.46038,267.7407,0.0024,0.99075,8.68183,6.99094,5.1511,60.83247,0.18991,0.19011,-0.36712,-0.36699,0.5,Not_seen
7,2457457.25889,51.39822,-0.19837,0.759,2457457.24334,2457457.27833,50.38849,3.55198,262.676,-3.47683,267.75591,0.0024,0.99075,8.67048,7.02881,5.07991,60.83099,0.18941,0.18961,-0.36363,-0.36351,1,Not_seen
8,2457457.26044,53.95763,-1.08271,0.76,2457457.2444,2457457.28049,51.96781,3.43075,262.20043,-3.37986,267.6485,0.0024,0.99075,8.71957,6.81061,5.44807,60.83909,0.19158,0.19178,-0.38414,-0.38401,1,Not_seen
9,2457487.31622,53.58333,-2.43333,1.816,2457487.28675,2457487.35304,95.45765,6.69411,277.61713,-6.00369,291.4793,0.0024,0.99931,18.77762,12.6978,13.86218,60.77741,0.88134,0.88316,0.59342,0.59438,1,Not_seen
10,2457487.31622,53.58333,-2.43333,1.816,2457487.28675,2457487.35304,95.45765,6.69411,277.61713,-6.00369,291.4793,0.0024,0.99931,18.77762,12.6978,13.86218,60.77741,0.88134,0.88316,0.59342,0.59438,1,Not_seen
11,2457487.30685,51.38333,-0.1,1.807,2457487.27804,2457487.34287,93.3561,6.93008,277.18462,-6.20261,290.4101,0.0024,0.99931,18.61737,13.13269,13.22547,60.75082,0.86612,0.86796,0.62888,0.62986,0.5,Seen
12,2457516.33941,53.58333,-2.43333,1.839,2457516.32278,2457516.36021,53.89875,3.29031,291.07784,-3.00919,304.55706,0.00241,1.00699,14.87241,6.2995,13.47922,60.73266,0.55432,0.55488,-0.22404,-0.22373,1,Not_seen
13,2457516.3274,51.38333,-0.1,1.827,2457516.31075,2457516.34821,53.9383,3.53681,289.80555,-3.2225,302.83785,0.00241,1.00699,14.67415,6.75931,13.03231,60.72331,0.53963,0.54022,-0.1863,-0.18597,0.5,Not_seen
14,2457516.32946,51.87967,-0.41748,1.829,2457516.31282,2457516.35025,53.90417,3.47958,290.07496,-3.17264,303.20246,0.00241,1.00699,14.71015,6.65223,13.1275,60.72596,0.54229,0.54287,-0.19552,-0.19519,0.5,Not_seen
15,2457516.33802,54.23298,-1.34411,1.838,2457516.32151,2457516.35867,53.51099,3.18909,291.51322,-2.92344,305.07061,0.00241,1.00699,14.86575,6.11253,13.5574,60.73946,0.55388,0.55443,-0.24298,-0.24268,1,Not_seen
16,2457516.33802,54.23298,-1.34411,1.838,2457516.32151,2457516.35867,53.51099,3.18909,291.51322,-2.92344,305.07061,0.00241,1.00699,14.86575,6.11253,13.5574,60.73946,0.55388,0.55443,-0.24298,-0.24268,1,Not_seen
17,2457516.32579,51.13321,0.26256,1.826,2457516.30915,2457516.3466,53.92919,3.56241,289.67515,-3.2448,302.65364,0.00241,1.00699,14.64854,6.80721,12.97849,60.72245,0.53775,0.53834,-0.18257,-0.18224,0.5,Not_seen
18,2457517.347,50.85519,0.57292,2.847,2457517.30869,2457517.39488,124.12407,9.06082,285.85502,-7.22867,309.23662,0.00244,1.00742,28.42895,16.28949,23.38159,59.43039,1.9526,1.95792,1.47653,1.47899,0,Seen
