C, H. Y., M., Sight Date Best Time, Lat, Lon, Age, W, ARCL ARCV, DAZ, SO, A,
O,1423,10, 2002-12-04  14:50:48,30.9,35.8,7.26,0.03,3.31,1.6,2.9, I, I
O,1419,11, 1999-02-16  15:03:05,33.3,44.4,8.39,0.03,3.42,2.94,1.75, I, I
O,1422,9, 2001-11-15  13:51:06,24.3,54.3,7.17,0.03,3.43,3.42,0.34, I, I
O,1422,9, 2001-11-15  14:53:13,31.9,35.8,8.2,0.04,3.92,3.68,1.36, I, I
O,1425,4, 2004-05-19  15:51:47,29.4,48,10.98,0.05,4.26,4.26,0.13, I, I
O,1422,7, 2001-09-17  13:17:52,4.1,73.3,2.83,0.05,4.3,2.62,3.4, I, I
O,1423,10, 2002-12-04  17:11:31,10.3,9.8,9.6,0.05,4.33,3.71,2.23, I, I
O,1422,7, 2001-09-17  14:56:28,26.6,50,4.47,0.06,4.38,4.25,1.09, I, I
O,1423,10, 2002-12-04  17:43:19,6.5,3.4,10.13,0.06,4.59,4.14,1.99, I, I
S,1404,4, 1984-01-03  15:32:55,15.6,35.6,10.27,0.05,4.64,3.23,3.33, I, I
O,1421,12, 2001-02-23  17:45:36,-33.9,18.4,9.39,0.06,4.89,4.73,1.24, I, I
O,1422,9, 2001-11-15  17:08:33,10.3,9.8,10.46,0.06,4.9,4.9,0.02, I, I
O,1425,3, 2004-04-20  02:12:27,32.4,-111,12.84,0.06,4.96,4.63,1.77, I, I
S,1340,9, 1922-04-27  16:25:49,-33.9,18.5,11.37,0.07,5.09,4.44,2.49, I, I
O,1425,12, 2005-01-10  17:36:39,11.2,7.6,5.55,0.08,5.24,2.06,4.82, I, I
O,1425,9, 2004-10-14  14:26:59,26.6,50,11.63,0.08,5.34,3.33,4.18, I, I
O,1425,8, 2004-09-15  01:44:55,32.4,-110.8,11.25,0.07,5.34,4.45,2.94, I, I
O,1422,12, 2002-02-12  17:58:12,-33.9,18.4,10.27,0.07,5.39,5.24,1.26, I, I
O,1422,9, 2001-11-15  17:44:33,-33.9,18.4,11.06,0.08,5.52,3.36,4.38, I, I
O,1422,12, 2002-02-12  16:30:00,43.9,18.4,8.8,0.08,5.58,0.85,5.51, I, I
O,1425,4, 2004-05-19  18:56:10,32.5,3.7,14.05,0.08,5.62,5.59,0.62, I, I
S,1409,11, 1989-06-04  05:13:06,19.8,-155.5,9.32,0.09,5.88,5.1,2.93, I, I
O,1425,9, 2004-10-14  15:22:41,30.4,35.5,12.56,0.09,5.9,3.32,4.88, I, I
O,1420,8, 1999-11-08  14:57:11,32,35.9,11.05,0.09,5.9,5.87,0.63, I, I
O,1420,8, 1999-11-08  15:02:16,31.8,34.7,11.14,0.09,5.93,5.89,0.63, I, I
