Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility
0,2452613.10949,30.9,35.8,0.609,2452613.10734,2452613.11218,6.96667,0.13989,241.63012,-1.43197,244.73804,0.00245,0.98317,3.48254,1.57186,3.10793,0.00092,59.88102,0.03013,0.03013,-1.00754,-1.00754,0,Not_seen,Not_seen,Not_seen,0
1,2451226.1207,33.3,44.4,0.621,2451226.11632,2451226.12618,14.2,0.9595,254.70547,-2.11218,256.59669,0.00251,0.98547,3.60704,3.07168,1.89123,0.00099,58.34475,0.03149,0.0315,-0.8567,-0.8567,0,Not_seen,Not_seen,Not_seen,0
2,2452229.07185,24.3,54.3,0.572,2452229.06693,2452229.07799,15.91667,1.27821,250.26974,-2.34938,250.63814,0.00251,0.98658,3.64624,3.62759,0.3684,0.00101,58.43899,0.03223,0.03224,-0.80065,-0.80064,0,Not_seen,Not_seen,Not_seen,0
3,2452229.11494,31.9,35.8,0.615,2452229.10924,2452229.12207,18.48333,1.40984,248.11077,-2.46171,249.5561,0.00251,0.98657,4.13242,3.87155,1.44533,0.0013,58.40873,0.04137,0.04139,-0.77052,-0.77051,0,Not_seen,Not_seen,Not_seen,0
4,2453145.15655,29.4,48.0,0.657,2453145.14986,2453145.16492,21.68333,1.70959,294.96866,-2.74801,294.75928,0.00271,1.00924,4.46251,4.4576,-0.20938,0.00152,54.11334,0.04469,0.04472,-0.70984,-0.70982,0,Not_seen,Not_seen,Not_seen,0
5,2452170.04835,4.1,73.3,0.548,2452170.04527,2452170.05221,10.0,0.76094,275.92425,-1.94247,272.2482,0.0024,1.00262,4.56265,2.70341,-3.67605,0.00158,61.09412,0.05275,0.05276,-0.88022,-0.88021,0,Not_seen,Not_seen,Not_seen,0
6,2452613.21169,10.3,9.8,0.712,2452613.20668,2452613.21796,16.25,1.37631,245.39222,-2.47567,247.80121,0.00245,0.98315,4.54293,3.85198,2.40899,0.00157,59.80559,0.05119,0.05121,-0.76634,-0.76632,0,Not_seen,Not_seen,Not_seen,0
7,2452170.11863,26.6,50.0,0.619,2452170.11271,2452170.12603,19.18333,1.73936,274.90729,-2.73764,273.69627,0.0024,1.0026,4.63781,4.47701,-1.21102,0.00164,61.05036,0.05446,0.05449,-0.70179,-0.70177,0,Not_seen,Not_seen,Not_seen,0
8,2452613.23445,6.5,3.4,0.734,2452613.22887,2452613.24144,18.1,1.62265,245.72316,-2.68367,247.87143,0.00245,0.98315,4.81216,4.30632,2.14827,0.00176,59.78557,0.05742,0.05744,-0.71702,-0.717,0,Not_seen,Not_seen,Not_seen,0
9,2445703.14228,15.6,35.6,0.642,2445703.13793,2445703.14772,14.1,1.06431,243.30542,-2.21893,246.86898,0.00266,0.98063,4.84498,3.28324,3.56356,0.00179,55.0339,0.05358,0.05359,-0.82172,-0.82171,0,Not_seen,Not_seen,Not_seen,0
10,2451964.23636,-33.9,18.4,0.736,2451964.22913,2451964.24539,23.41667,2.00497,257.59625,-2.94073,256.35098,0.0027,0.98697,5.09995,4.94569,-1.24527,0.00198,54.29814,0.05857,0.0586,-0.65236,-0.65234,0,Not_seen,Not_seen,Not_seen,0
11,2452229.21141,10.3,9.8,0.711,2452229.20485,2452229.21961,21.25,2.10029,251.57981,-3.03435,251.6149,0.00251,0.98655,5.13475,5.13463,0.03509,0.00201,58.3258,0.06377,0.06381,-0.63022,-0.6302,0,Not_seen,Not_seen,Not_seen,0
12,2453115.58822,32.4,-111.0,1.088,2453115.58117,2453115.59704,22.85,1.92805,283.86242,-2.90135,285.6886,0.00267,1.00211,5.16293,4.82941,1.82618,0.00203,54.91532,0.0607,0.06073,-0.66266,-0.66264,0,Not_seen,Not_seen,Not_seen,0
