Hijri year,Month,Date,Seen?,Method,Clouds,Location,Lat,Lon
1437,1,13-Oct-15,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,2,12-Nov-15,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,4,10-Jan-16,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,5,09-Feb-16,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1437,5,09-Feb-16,Seen,Naked-eye,Clear,"Leicester, Leicestershire (UK)",52.6386,-1.13169
1437,6,09-Mar-16,Not_seen,Naked-eye,Totally_Cloudy,"Leicester, Leicestershire (UK)",52.6386,-1.13169
1437,6,09-Mar-16,Not_seen,Naked-eye,Partly_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1437,6,09-Mar-16,Not_seen,Naked-eye,Totally_Cloudy,"Morden, Greater London (UK)",51.39822,-0.19837
1437,6,09-Mar-16,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,7,08-Apr-16,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1437,7,08-Apr-16,Not_seen,Naked-eye_and/or_Binoculars_and/or_Telescope,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1437,7,08-Apr-16,Seen,Naked-eye,Partly_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1437,8,07-May-16,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1437,8,07-May-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1437,8,07-May-16,Not_seen,Naked-eye,Partly_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1437,8,07-May-16,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Thirsk, North Yorkshire (UK)",54.23298,-1.34411
1437,8,07-May-16,Not_seen,Naked-eye,Totally_Cloudy,"Thirsk, North Yorkshire (UK)",54.23298,-1.34411
1437,8,07-May-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Tunbridge Wells, Kent (UK)",51.13321,0.26256
1437,8,08-May-16,Seen,Naked-eye,Clear,"Hastings, East Sussex (UK)",50.85519,0.57292
1437,9,05-Jun-16,Not_seen,Naked-eye,Partly_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1437,9,05-Jun-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1437,9,05-Jun-16,Not_seen,Naked-eye,Clear,"Bradford, West Yorkshire (UK)",53.79391,-1.75206
1437,9,05-Jun-16,Not_seen,Naked-eye,Clear,"London, Greater London (UK)",51.50853,-0.12574
1437,9,05-Jun-16,Not_seen,Naked-eye,Clear,"London, Greater London (UK)",51.50853,-0.12574
1437,9,05-Jun-16,Not_seen,Naked-eye,Clear,"London, Greater London (UK)",51.50853,-0.12574
1437,9,05-Jun-16,Not_seen,Naked-eye,Partly_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1437,9,05-Jun-16,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,9,06-Jun-16,Seen,Naked-eye,Clear,"Croydon, Greater London (UK)",51.38333,-0.1
1437,10,05-Jul-16,Not_seen,Naked-eye,Partly_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1437,10,05-Jul-16,Not_seen,Naked-eye,Totally_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1437,10,05-Jul-16,Not_seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
